Year,Emissions
1970,216.87712213484
1971,217.92476672269
1972,217.98908404018
1973,216.22032973329
1974,200.04068491179
1975,207.84826168676
1976,213.54916265666
1977,225.22438344277
1978,222.80172874401
1979,233.34587353636
1980,225.76304513819
1981,226.48424154187
1982,228.45710783966
1983,229.46664919525
1984,232.64241194952
1985,229.56256323018
1986,228.12867358721
1987,228.15984646257
1988,224.17640794358
1989,216.04311209957
1990,197.20247487213
1991,178.63493359823
1992,170.37550511482
1993,163.51179992617
1994,156.68855958952
1995,155.54449957281
1996,159.78352496261
1997,155.77012608363
1998,148.83108697849
1999,140.56039150889
2000,154.19816875749
2001,154.7797605138
2002,149.27863369818
2003,152.78638844184
2004,154.01606819181
2005,151.15061120902
2006,152.41639968927
2007,154.10596588365
2008,148.35062841597
2009,141.44419165859
2010,143.52987770233
2011,141.19732620003
2012,136.98625822286
2013,132.14672864828
2014,129.96466558924
2015,131.36974385262
2016,132.47207744079
2017,133.49033247658
2018,131.73260449146
2019,126.445170888
2020,116.96779021924
2021,123.18936694604
2022,124.49507410851
