Year,Emissions
1970,13.009585850074
1971,13.319891846761
1972,13.646527779527
1973,13.920484193273
1974,14.325034401186
1975,14.557998085345
1976,19.32251465652
1977,19.260567315704
1978,18.64394160042
1979,19.764024124528
1980,19.547731263727
1981,20.114631670098
1982,23.073130021277
1983,24.980035322839
1984,27.542045220185
1985,26.390318238388
1986,27.157088297523
1987,28.311189675377
1988,29.188201216123
1989,27.716769023189
1990,28.575608614769
1991,26.57311644248
1992,27.201622082722
1993,28.41107335203
1994,27.748856042385
1995,28.135487228645
1996,29.131711587131
1997,28.397212895033
1998,28.939838868807
1999,28.44033576061
2000,31.087025011039
2001,28.746505850542
2002,28.227885260084
2003,29.47073645942
2004,30.119199661823
2005,30.971255814362
2006,31.642361294093
2007,32.75016497697
2008,33.539608562917
2009,33.7854411018
2010,37.074130950802
2011,38.161814850202
2012,45.047150530313
2013,48.906418820705
2014,52.974484367887
2015,52.656475383141
2016,53.376490590191
2017,56.27878725732
2018,55.862327386522
2019,57.830370446284
2020,58.960436909407
2021,60.59325563745
2022,61.635094374677
