Year,Emissions
1970,0.99838580257012
1971,1.0152715184473
1972,1.0222753421112
1973,1.0550669390559
1974,1.1325266073686
1975,1.1940438869153
1976,1.2465855956635
1977,1.3283564863969
1978,1.376120346117
1979,1.5363505835333
1980,1.5575256107134
1981,1.3172718499644
1982,1.2695774366853
1983,1.1797180342068
1984,1.0908196076787
1985,1.1262036198831
1986,1.1258506709076
1987,1.3724607952672
1988,1.3563295883166
1989,2.061206531883
1990,1.8928141336713
1991,2.182225858072
1992,2.0193606074081
1993,2.0326787856831
1994,2.0648462450183
1995,2.131027570664
1996,2.2042662558026
1997,2.2312003674179
1998,2.2762459758002
1999,2.3428976113218
2000,1.9065103763279
2001,1.9182196205379
2002,1.9473258218147
2003,2.0032482111816
2004,1.9944075341119
2005,1.9683320041701
2006,1.952665880991
2007,1.9915686576444
2008,2.0892208490379
2009,1.9597685733584
2010,2.0546348911456
2011,1.8738214322568
2012,2.0749346698527
2013,2.166773477463
2014,2.2050066496167
2015,2.1384989046249
2016,2.095080539072
2017,2.0273627417515
2018,2.0909603557828
2019,2.0870845076902
2020,2.1120147286557
2021,2.1973569468792
2022,2.2322960398438
