Year,Emissions
1970,10.231513255467
1971,10.695723857882
1972,11.948999927243
1973,12.145391261174
1974,13.128294079265
1975,13.866059216765
1976,14.456330163432
1977,14.975155178428
1978,14.827822503258
1979,15.530531765096
1980,15.773024159295
1981,15.205199677266
1982,15.425996156415
1983,16.921869463622
1984,17.365177407835
1985,16.182281010596
1986,16.970450464789
1987,18.513365899934
1988,18.477417676251
1989,19.537640730123
1990,18.067077198883
1991,18.931065205316
1992,19.946376070905
1993,20.203583531459
1994,21.847615244679
1995,22.714748858192
1996,23.929655441148
1997,25.859160025286
1998,28.037316762367
1999,28.737738619201
2000,29.290425608919
2001,30.033024748401
2002,32.46586966541
2003,30.089157848242
2004,29.589268940988
2005,30.905610250631
2006,33.099669046693
2007,34.236881830501
2008,34.565985819351
2009,34.251775044221
2010,35.600222344578
2011,36.012705157789
2012,36.89799032985
2013,36.615999583815
2014,37.162401554509
2015,39.527811456348
2016,40.953988132906
2017,40.279248549722
2018,42.690817833481
2019,43.263762045883
2020,40.745288386065
2021,41.228011681425
2022,41.858467712686
