Year,Emissions
1970,1.8965374510917
1971,1.914034394297
1972,1.9935295235268
1973,2.0605195828175
1974,2.0988435770274
1975,2.1737886383767
1976,2.2654383618654
1977,2.2186491661295
1978,2.6328761731137
1979,2.6901507404495
1980,2.7588216388739
1981,2.725432830412
1982,2.6961617780444
1983,2.5605548643471
1984,2.5715740924423
1985,2.7167052474415
1986,2.8253626036895
1987,2.8249011856532
1988,2.864605948344
1989,2.9492829198682
1990,3.3449754440832
1991,3.4463766666833
1992,3.3017652261755
1993,2.9532392317378
1994,3.7110148511927
1995,3.6872179762436
1996,3.484037452475
1997,3.5314107419989
1998,3.469208676857
1999,3.7073551023204
2000,3.4114642080285
2001,3.2919244168277
2002,3.3222093631061
2003,3.3542171591224
2004,3.3967703135142
2005,3.3694578216941
2006,3.2958365259556
2007,3.3781163884205
2008,3.3001372782014
2009,3.2447367307077
2010,2.9057311938174
2011,2.7737111395065
2012,2.7897530127862
2013,3.0044363314719
2014,3.0163124278723
2015,3.0562478161258
2016,3.1347069739832
2017,3.0897846404342
2018,3.1167925902657
2019,3.2015460145964
2020,3.1771858081367
2021,3.2220765635543
2022,3.3868635182784
