Year,Emissions
1970,54.131382014983
1971,54.552598278033
1972,54.064699126462
1973,54.678613479144
1974,54.639348212043
1975,53.131218785226
1976,52.952136134926
1977,53.601952849856
1978,54.192878623562
1979,54.76548201816
1980,54.915522451527
1981,55.409390469791
1982,56.023691598663
1983,57.812727992003
1984,56.434776915846
1985,58.974204116098
1986,62.461856829015
1987,60.305964136107
1988,61.206856992398
1989,64.32119833551
1990,66.228470992202
1991,67.005272396376
1992,68.832670550397
1993,63.930329984654
1994,66.53826572678
1995,67.686766801226
1996,71.106538400069
1997,73.586701279437
1998,78.544142334024
1999,78.605148098785
2000,76.680427451572
2001,82.154762408405
2002,89.987000028113
2003,89.271873274637
2004,91.801514378827
2005,95.212010439684
2006,101.13376047775
2007,110.5645227705
2008,115.81185722068
2009,119.92056207316
2010,125.47146639336
2011,125.26931797056
2012,130.49152773708
2013,135.62475564234
2014,142.00205978366
2015,145.65477986022
2016,151.9837720197
2017,156.16121907804
2018,160.41891984819
2019,170.92136600446
2020,179.20243934682
2021,186.28468886637
2022,192.47395538279
