Year,Emissions
1970,1.4426066610163
1971,1.4517630803992
1972,1.5145256271603
1973,1.6803081024226
1974,1.9083780162442
1975,1.7534315996629
1976,1.7428615542305
1977,1.8357168517066
1978,1.8210301814111
1979,1.9552653145696
1980,2.0515202778929
1981,2.1026820587733
1982,2.1005081691971
1983,1.9038833284766
1984,1.8063687306624
1985,1.9342107441999
1986,1.9961522917542
1987,1.9313189744223
1988,1.939458228256
1989,2.0805667479045
1990,2.1953832599268
1991,2.0697129643409
1992,2.1340845758156
1993,2.243333802054
1994,2.3526922378425
1995,2.4503327745874
1996,2.5160344966164
1997,2.5931296098327
1998,2.5811117459797
1999,2.6484137013626
2000,3.0278977305414
2001,3.144585642474
2002,2.7979712838591
2003,3.038835153031
2004,3.5605602532185
2005,3.2969006804775
2006,3.4411820570138
2007,3.1996719895103
2008,2.7713151521413
2009,2.5609193972377
2010,3.1904658041459
2011,2.7309838080563
2012,2.6930718420081
2013,2.8812339103688
2014,2.5408879441112
2015,2.6467286096885
2016,2.637019578435
2017,2.8690062567953
2018,2.999504249801
2019,3.2248256525692
2020,2.7847239257771
2021,2.8965025316482
2022,2.9823389589459
