Year,Emissions
1970,66.615547769179
1971,66.421627212721
1972,70.541927233667
1973,74.982701428106
1974,71.12712467147
1975,70.227819577581
1976,76.17701186026
1977,75.510532606659
1978,82.784516495588
1979,83.326048023978
1980,84.285035967904
1981,74.691207500422
1982,72.439812750741
1983,71.641943278473
1984,72.372624174346
1985,76.428009709927
1986,76.615929437487
1987,81.417352695787
1988,80.103577978341
1989,80.459673253163
1990,85.557783193934
1991,86.173870316926
1992,82.207353884906
1993,83.707169899724
1994,90.947657797024
1995,86.907008831966
1996,91.962296043993
1997,90.883896377526
1998,86.737921969001
1999,87.709942590885
2000,86.137425996438
2001,92.871711455869
2002,94.42350367805
2003,103.86865371143
2004,102.4246603814
2005,87.451902575611
2006,101.72442033467
2007,95.074540950803
2008,86.239891924658
2009,82.901390987399
2010,92.972024353094
2011,84.646601163097
2012,80.599003119409
2013,80.6914481848
2014,75.811848405636
2015,71.106436173326
2016,70.973107952341
2017,66.912488153344
2018,68.008766026264
2019,63.948057923915
2020,58.141924982026
2021,57.395198940375
2022,54.805048213165
