Year,Emissions
1970,24497.544419342
1971,24582.920914342
1972,25521.454039994
1973,26733.859336525
1974,26742.384119846
1975,26798.454096913
1976,27950.655930531
1977,28635.109842255
1978,29238.852346535
1979,29941.626256132
1980,29642.260032807
1981,29136.693450578
1982,28937.984320633
1983,29175.19006845
1984,29979.633292889
1985,30299.723105002
1986,30794.849874737
1987,31544.221264701
1988,32508.288125373
1989,33095.737993714
1990,33268.120705121
1991,33373.19072711
1992,33301.234007632
1993,33402.787030817
1994,33747.718461311
1995,34631.797949925
1996,35262.130611764
1997,35724.026339674
1998,35812.314962269
1999,36051.32770126
2000,36991.707039485
2001,37316.895340607
2002,37807.183375592
2003,39354.851019827
2004,40981.848260709
2005,42318.42849681
2006,43539.566550746
2007,44859.867456026
2008,45168.465033405
2009,44750.39493215
2010,46991.566720069
2011,48409.216814868
2012,49068.901427571
2013,49875.675087706
2014,50242.997508282
2015,50134.383764132
2016,50343.044449816
2017,51195.419111093
2018,52398.143259999
2019,52557.335274915
2020,50632.309454335
2021,53056.607720617
2022,53786.038909132
