Year,Emissions
1970,6.8180906218537
1971,7.3404083703414
1972,7.9111070633109
1973,11.977840141484
1974,14.656067129567
1975,16.730391897812
1976,17.561153698157
1977,17.342361395131
1978,17.320743500656
1979,16.431142864108
1980,15.351476428871
1981,14.517439617665
1982,14.89710126806
1983,14.43546738717
1984,15.780539149345
1985,17.075907392617
1986,14.600945628475
1987,13.608533409959
1988,14.221755351176
1989,17.333737499034
1990,20.391260410101
1991,19.563477381632
1992,20.855190104364
1993,21.494516000746
1994,21.048691307818
1995,23.542221980119
1996,26.528730430195
1997,24.506935020555
1998,28.501330248251
1999,27.153629711105
2000,27.964108338325
2001,28.055827708082
2002,27.144300265409
2003,30.238019880456
2004,27.981776996082
2005,26.339294201563
2006,22.717053452056
2007,19.651902833323
2008,21.161265779689
2009,20.591546720864
2010,21.16169308563
2011,20.884091687001
2012,20.789741902355
2013,20.571132698422
2014,20.812031346742
2015,21.675909653369
2016,21.764657382805
2017,19.89223507626
2018,18.520983252815
2019,20.401516568665
2020,20.013452876023
2021,19.026703285154
2022,18.626671672806
