Year,Emissions
1970,1322.1469443087
1971,1315.8531246927
1972,1340.1568491528
1973,1392.9702442094
1974,1359.9832860862
1975,1298.0757135104
1976,1362.5817839016
1977,1338.5953141074
1978,1380.9301926495
1979,1432.6387262167
1980,1378.4142961062
1981,1341.7134971642
1982,1291.5204871467
1983,1305.7880454808
1984,1321.0414126086
1985,1322.4662135707
1986,1311.230222139
1987,1300.0910751831
1988,1290.3786315986
1989,1277.8563655721
1990,1235.2345186162
1991,1209.511891411
1992,1145.9111380863
1993,1132.6563626186
1994,1118.3481262553
1995,1110.3433397578
1996,1137.9142477834
1997,1099.0195687082
1998,1079.0151160527
1999,1038.7965415784
2000,1032.285710493
2001,1043.5842501935
2002,1025.2094276109
2003,1023.8532396451
2004,1007.1142077374
2005,983.71291979227
2006,989.83215356925
2007,958.43417062022
2008,960.19283878853
2009,896.25739480509
2010,940.99594606513
2011,912.98349469607
2012,925.55955266236
2013,942.98113971812
2014,902.89885361092
2015,908.13235714019
2016,910.20474114882
2017,893.93956584889
2018,864.5847420558
2019,810.27073776498
2020,751.33896397491
2021,792.45335559289
2022,784.00464646408
