Year,Emissions
1970,7.5755125930549
1971,7.6788691836333
1972,8.1169622898302
1973,8.2473896192968
1974,8.8304513555482
1975,8.9837160032933
1976,9.0943283206445
1977,9.4701276633852
1978,9.2375714641709
1979,9.2526312175474
1980,9.2959268227525
1981,9.972885309351
1982,9.714696579569
1983,8.1381334492992
1984,8.7227371783776
1985,9.3575484712523
1986,10.066238328333
1987,10.498353585201
1988,10.651516835207
1989,11.470607415955
1990,11.319433023647
1991,11.653218464863
1992,12.204374868952
1993,12.538658296084
1994,12.996870868908
1995,13.441495085615
1996,14.144419609201
1997,14.588581798134
1998,16.398458308593
1999,17.285357815063
2000,16.840603906923
2001,17.513960698262
2002,18.920435938083
2003,18.652370237552
2004,18.54780352903
2005,19.310670490583
2006,21.301975280104
2007,21.899799737996
2008,23.571808864096
2009,24.750997492971
2010,26.089131550948
2011,29.492694741485
2012,32.460447736929
2013,34.704789816372
2014,34.963541967209
2015,36.491674369542
2016,37.02314727068
2017,40.516745874344
2018,43.449081389557
2019,46.820820321008
2020,49.46923856272
2021,51.620281711489
2022,53.007332740835
