Year,Emissions
1970,0.45914213998843
1971,0.46664097885235
1972,0.49214456707402
1973,0.50491518512747
1974,0.48597362708279
1975,0.52043691903822
1976,0.52043160125247
1977,0.5409949792798
1978,0.55125693670625
1979,0.55527150143345
1980,0.55307975469624
1981,0.62081100575645
1982,0.6653349626749
1983,0.70030367811155
1984,0.76233428582692
1985,0.74520351164106
1986,0.74531057246592
1987,0.81331907928459
1988,0.89608595397074
1989,0.94634513199659
1990,0.95931680019387
1991,1.0157835159046
1992,0.96696889247624
1993,1.013232951219
1994,1.037194563483
1995,1.0201936980587
1996,1.055633312616
1997,1.0896492068417
1998,1.0987794781113
1999,1.0449199487929
2000,0.89724077557614
2001,0.93506200919815
2002,1.0086321418493
2003,1.0110481300547
2004,0.98638540965569
2005,0.99146867773159
2006,1.0569736550932
2007,1.1031817786673
2008,1.1201745804588
2009,1.1785818774802
2010,1.303226204265
2011,1.3956219714723
2012,1.1473115732846
2013,1.1510156540562
2014,1.1338632901024
2015,1.2381853549775
2016,1.1900879865438
2017,1.1911652420371
2018,1.1981226465347
2019,1.2038504760274
2020,1.1977705295508
2021,1.2296525876203
2022,1.2600595645084
