Year,Emissions
1970,91.79777044334
1971,94.06743915302
1972,95.865296576317
1973,101.14202566331
1974,104.01318920589
1975,106.08254311212
1976,110.34331119617
1977,115.16618449745
1978,124.21046934106
1979,123.02341216934
1980,121.8721440524
1981,120.86656851529
1982,121.43013235573
1983,117.52421346866
1984,119.08154681946
1985,117.61687937872
1986,114.78558487746
1987,116.13530371686
1988,110.47101492277
1989,107.49008864046
1990,96.780931745963
1991,90.571099586653
1992,79.734655881457
1993,80.724203576439
1994,80.462166639946
1995,79.38029740081
1996,81.890880934501
1997,80.464905376975
1998,79.687540475659
1999,80.200726520728
2000,77.207683000214
2001,78.83998111466
2002,81.235214975823
2003,82.417080348139
2004,81.214284058674
2005,80.244066107238
2006,79.233260434827
2007,77.582824583294
2008,75.27727775832
2009,68.350417755142
2010,68.6060120055
2011,67.735841433759
2012,64.314277699087
2013,61.770303324447
2014,61.931997502713
2015,64.482039639106
2016,65.384734663755
2017,71.451893112761
2018,71.526176937152
2019,70.123834489605
2020,68.098212993351
2021,70.333113503772
2022,66.207631175158
