Year,Emissions
1970,817.87460805248
1971,822.68366295336
1972,833.98253630358
1973,842.37908258102
1974,864.75926676095
1975,896.45286538333
1976,919.91808486917
1977,939.62145731087
1978,944.15068829598
1979,972.57114499867
1980,997.72402660492
1981,1047.7498939374
1982,1071.5303852159
1983,1121.438025459
1984,1175.5944191346
1985,1205.9100819303
1986,1269.3863132527
1987,1303.7115522442
1988,1373.1422311414
1989,1431.3684381448
1990,1436.5805818998
1991,1495.4084538573
1992,1528.3302223098
1993,1560.9079678925
1994,1615.6811064474
1995,1680.3861849731
1996,1728.3882128442
1997,1785.8759653601
1998,1816.6652695969
1999,1886.1063204438
2000,1919.3388388997
2001,1944.5869372906
2002,1974.3286538005
2003,2026.2500022121
2004,2130.2323550632
2005,2203.1001816551
2006,2307.9237368147
2007,2451.9314737611
2008,2565.1067595271
2009,2718.8564824936
2010,2839.9431216187
2011,2965.6069768453
2012,3144.3552680564
2013,3182.9816352567
2014,3357.5312144414
2015,3389.8823865795
2016,3443.2935451877
2017,3590.031529469
2018,3754.6232710841
2019,3731.1229729778
2020,3519.1214521597
2021,3754.6265060977
2022,3943.2645902238
