Year,Emissions
1970,375.58362950785
1971,375.58362950785
1972,393.49620429074
1973,416.53119247801
1974,389.69250974004
1975,363.28850249281
1976,375.53414570962
1977,375.48945330425
1978,377.26097841709
1979,389.228310968
1980,380.15664547578
1981,352.9628516532
1982,317.85381652423
1983,297.79635749133
1984,301.80693833362
1985,324.67042915776
1986,345.38309643346
1987,341.79979495407
1988,358.66945375507
1989,358.59228159177
1990,394.75079059727
1991,410.08889832289
1992,440.05139071382
1993,427.07023214871
1994,439.95113240719
1995,456.09812562992
1996,465.35215049215
1997,477.05803754479
1998,491.64325360864
1999,519.55511269434
2000,533.72058197948
2001,506.88901618829
2002,525.54067536523
2003,534.36855913801
2004,586.8846426414
2005,607.26992749132
2006,645.96963227289
2007,683.57275297392
2008,684.87597626798
2009,651.45191460708
2010,700.47118906521
2011,702.05433269036
2012,655.37116428269
2013,652.76853684894
2014,674.09366727944
2015,702.30319520169
2016,720.22893751178
2017,747.84910751097
2018,750.75742771744
2019,734.54374200795
2020,671.96286481745
2021,710.46152993515
2022,750.6992683826
