Year,Emissions
1970,100.56027428774
1971,104.97147465754
1972,96.054407274837
1973,119.79770297899
1974,119.75800631978
1975,135.72644176332
1976,151.93813344322
1977,145.49563498658
1978,158.91936444623
1979,205.69918959727
1980,168.67250664682
1981,90.028531484065
1982,93.223827099218
1983,96.7197765321
1984,110.76690198608
1985,127.5745264189
1986,145.21032200676
1987,161.91294483042
1988,192.20274707298
1989,208.68189075675
1990,169.63225597279
1991,80.132198244106
1992,108.24545520882
1993,137.99836399118
1994,150.09755654776
1995,150.42219377221
1996,140.06612035173
1997,177.4002058697
1998,157.42258029426
1999,145.90400483447
2000,165.70427988861
2001,179.43356680803
2002,168.40604218584
2003,151.98543954631
2004,169.56898412579
2005,163.84892364637
2006,163.61601955081
2007,153.674652167
2008,170.27480792527
2009,186.30241684833
2010,209.75069983759
2011,223.10219721216
2012,252.05731670669
2013,262.81782187997
2014,263.67966701676
2015,273.10608040856
2016,314.3774294394
2017,330.7469057494
2018,347.32186577959
2019,367.10579436319
2020,329.5278120228
2021,340.16903704847
2022,367.94109906289
