Year,Emissions
1970,40.003149761606
1971,42.946055142604
1972,42.631094775958
1973,43.178633871417
1974,46.144739165165
1975,44.721491261847
1976,44.984298778668
1977,47.280135608186
1978,47.490940705661
1979,52.106345527236
1980,51.194424807163
1981,50.376668264159
1982,50.33571518958
1983,50.459675706055
1984,50.761321772663
1985,52.485700426222
1986,53.609075862088
1987,54.853979108244
1988,54.053269200819
1989,55.689130713913
1990,57.591366266564
1991,58.137852106
1992,58.138681861253
1993,58.903194263923
1994,60.380177179704
1995,61.034775174896
1996,62.53202470051
1997,64.118672231443
1998,66.974921383614
1999,70.979118220758
2000,74.64612908341
2001,77.198693249369
2002,75.704308535446
2003,75.397435326165
2004,74.249065461095
2005,75.339447111443
2006,75.966000533789
2007,73.535982153035
2008,72.130163402538
2009,66.697955955158
2010,65.739311092854
2011,61.670245413232
2012,62.776538638311
2013,61.948186263952
2014,62.036645606402
2015,64.020758759227
2016,67.516344094669
2017,66.62156577972
2018,63.61825959241
2019,61.706362040221
2020,59.462781113421
2021,61.100925847904
2022,62.419141150734
