"Title","Content","Rating"
"Billy Crudup owns this show!","The show is amazing, but wow, what a remarkable performance by Billy Crudup. He totally kills it! I love his character, so funny. We need more of him! Great work! Of course, the rest of the cast is also amazing! Great job everyone!",9
"Surprisingly Addictive","I was never a big fan of either Anniston or Witherspoon but they are really, really good in these roles. Production values are excellent (product placement aside) and kudos to the writers for the nuanced approach to delicate social issues... and Billy Crudup has the best lines!",9
"Such an amazing cast!","The Morning Show is an pretty good drama led by such an amazing cast. It takes you behind the scenes of a morning show and gives you a candid look at what makes the show go and the lives of the people involved in it. It may start a little slow for some but stick with it because it gets better as the show goes on. It seems like the entire cast was nominated for their jobs in this show (Steve Carrel, Jennifer Aniston, Reese Witherspoon, Billy Crudup, Mark Duplass) and for good reason...they were all terrific! It's obviously a star studded cast but it's not only the stars that make this show so good, the writing is well done too. Now for some reason season 2 isn't nearly as good as the first seasons. It's still worth watching just not as entertaining. I hope future seasons get back to the quality of of the first season.",8
"After the last episode !","Rarely it happens when a new streaming service comes out, and it has a show that is so good and binding, I can't help but give 10 stars !",10
"One of the best shows I've seen in years..","It's real, it's dramatic and it's creative. The photography is amazing and the characters are interesting and relatable.",10
"Worth Watching!","First of all The Morning Show has one of the best overall casts of any show on tv. Just to name some of the actors in this are Jennifer Aniston, Reese Witherspoon, Steve Carell, Billy Crudup, Mark Duplass, Gugu Mbatha-Raw, etc. With a cast like that you just know the show is worth watching. The first season is the best but the second is still pretty good. It's one of the rare shows where each episode gets better and leaves you wanting more. It's a fast paced show that you'll want to binge watch as quickly as you can. Season three is coming out later this year and I'm looking forward to watching it.",8
"Apple doesn't disappoint with this one.","I was skeptical and this show wasn't even on my radar, but after watching the first episode, I was hooked. I binged the next 4 in 2 days. Great show! The acting is superb. The story is interesting. It touches on issues of the day with finesse and doesn't preach. Which is hard to find these days. The casting is pretty perfect. Billy Crudup steals the show. Awesome work, Apple!",8
"Powerful!!!","I am still in awe by the season final! This is outstanding.. you moved me. I feel so empowered",10
"Thats how you do a show on feminism.","Complex emotions on all sides. Appealing to human nature. Not overly preachy. Makes you think about cause and effect.The acting is just over the top amazing. The performances by every single actor was A+.",9
"Season 2 is not it","Compared to Season 1...a dip in writing, acting and storyline. I also think it's a cop out to end the first season with a bombshell where every main character trashes and/or leaves the network and then immediately follow it with the next season where they are all back at UBA. Not creative.",6
"Welcome back to TV Jennifer!","What a fantastic return to form for Jennifer Aniston! Her ability to encapsulate a character right from the first episode with such depth, with an incredible supporting cast including a role that could only be played by an actor like Steve Carrol, the complexities of such an intensely debated topic as the MeToo movement, which has been so integral in allowing society to take that important step forward, while allowing narratives to take place that under different acting ability could very easily lost. Reese is exceptional in a role that feels formed to her.I'm looking forward to seeing where this program about a program can take us!",10
"Solid First Season","The first season was very good and I would have given the show a higher ranking but season 2 is weak. It has become very soap-opera-ish. Too many chaotic tangential stories and lots of annoying hysterics.",7
