,year,state,county_fips,county_name,democrat_votes,republican_votes,total_votes
0,2000,VIRGINIA,51001,ACCOMACK,5092,6352,11444
1,2000,VIRGINIA,51003,ALBEMARLE,16255,18291,34546
2,2000,VIRGINIA,51005,ALLEGHANY,2214,2808,5022
3,2000,VIRGINIA,51007,AMELIA,1754,2947,4701
4,2000,VIRGINIA,51009,AMHERST,4812,6660,11472
5,2000,VIRGINIA,51011,APPOMATTOX,2132,3654,5786
6,2000,VIRGINIA,51013,ARLINGTON,50260,28555,78815
7,2000,VIRGINIA,51015,AUGUSTA,6643,17744,24387
8,2000,VIRGINIA,51017,BATH,822,1311,2133
9,2000,VIRGINIA,51019,BEDFORD,8160,17224,25384
10,2000,VIRGINIA,51021,BLAND,851,1759,2610
11,2000,VIRGINIA,51023,BOTETOURT,4627,8867,13494
12,2000,VIRGINIA,51025,BRUNSWICK,3387,2561,5948
13,2000,VIRGINIA,51027,BUCHANAN,5745,3867,9612
14,2000,VIRGINIA,51029,BUCKINGHAM,2561,2738,5299
15,2000,VIRGINIA,51031,CAMPBELL,6659,13162,19821
16,2000,VIRGINIA,51033,CAROLINE,4314,3873,8187
17,2000,VIRGINIA,51035,CARROLL,3638,7142,10780
18,2000,VIRGINIA,51036,CHARLES CITY,1981,1023,3004
19,2000,VIRGINIA,51037,CHARLOTTE,2017,2855,4872
20,2000,VIRGINIA,51041,CHESTERFIELD,38638,69924,108562
21,2000,VIRGINIA,51043,CLARKE,2166,2883,5049
22,2000,VIRGINIA,51045,CRAIG,851,1580,2431
23,2000,VIRGINIA,51047,CULPEPER,4364,7440,11804
24,2000,VIRGINIA,51049,CUMBERLAND,1405,1974,3379
25,2000,VIRGINIA,51051,DICKENSON,3951,3122,7073
26,2000,VIRGINIA,51053,DINWIDDIE,4001,4959,8960
27,2000,VIRGINIA,51057,ESSEX,1750,1995,3745
28,2000,VIRGINIA,51059,FAIRFAX,196501,202181,398682
29,2000,VIRGINIA,51061,FAUQUIER,8296,14456,22752
30,2000,VIRGINIA,51063,FLOYD,1957,3423,5380
31,2000,VIRGINIA,51065,FLUVANNA,3431,4962,8393
32,2000,VIRGINIA,51067,FRANKLIN,7145,11225,18370
33,2000,VIRGINIA,51069,FREDERICK,7158,14574,21732
34,2000,VIRGINIA,51071,GILES,3004,3574,6578
35,2000,VIRGINIA,51073,GLOUCESTER,4553,8718,13271
36,2000,VIRGINIA,51075,GOOCHLAND,3197,5378,8575
37,2000,VIRGINIA,51077,GRAYSON,2467,4236,6703
38,2000,VIRGINIA,51079,GREENE,1774,3375,5149
39,2000,VIRGINIA,51081,GREENSVILLE,2314,1565,3879
40,2000,VIRGINIA,51083,HALIFAX,5963,7732,13695
41,2000,VIRGINIA,51085,HANOVER,12044,28614,40658
42,2000,VIRGINIA,51087,HENRICO,48645,62887,111532
43,2000,VIRGINIA,51089,HENRY,8898,11870,20768
44,2000,VIRGINIA,51091,HIGHLAND,453,942,1395
45,2000,VIRGINIA,51093,ISLE OF WIGHT,5162,7587,12749
46,2000,VIRGINIA,51095,JAMES CITY,9090,14628,23718
47,2000,VIRGINIA,51097,KING AND QUEEN,1387,1423,2810
48,2000,VIRGINIA,51099,KING GEORGE,2070,3590,5660
49,2000,VIRGINIA,51101,KING WILLIAM,2125,3547,5672
50,2000,VIRGINIA,51103,LANCASTER,1937,3411,5348
51,2000,VIRGINIA,51105,LEE,4031,4551,8582
52,2000,VIRGINIA,51107,LOUDOUN,30938,42453,73391
53,2000,VIRGINIA,51109,LOUISA,4309,5461,9770
54,2000,VIRGINIA,51111,LUNENBURG,2026,2510,4536
55,2000,VIRGINIA,51113,MADISON,1844,2940,4784
56,2000,VIRGINIA,51115,MATHEWS,1499,2951,4450
57,2000,VIRGINIA,51117,MECKLENBURG,4797,6600,11397
58,2000,VIRGINIA,51119,MIDDLESEX,1671,2844,4515
59,2000,VIRGINIA,51121,MONTGOMERY,11720,13991,25711
60,2000,VIRGINIA,51125,NELSON,2907,2913,5820
61,2000,VIRGINIA,51127,NEW KENT,2055,3934,5989
62,2000,VIRGINIA,51131,NORTHAMPTON,2340,2299,4639
63,2000,VIRGINIA,51133,NORTHUMBERLAND,2118,3362,5480
64,2000,VIRGINIA,51135,NOTTOWAY,2460,2870,5330
65,2000,VIRGINIA,51137,ORANGE,4126,5991,10117
66,2000,VIRGINIA,51139,PAGE,2726,5089,7815
67,2000,VIRGINIA,51141,PATRICK,2254,4901,7155
68,2000,VIRGINIA,51143,PITTSYLVANIA,7834,15760,23594
69,2000,VIRGINIA,51145,POWHATAN,2708,6820,9528
70,2000,VIRGINIA,51147,PRINCE EDWARD,2922,3214,6136
71,2000,VIRGINIA,51149,PRINCE GEORGE,4182,6579,10761
72,2000,VIRGINIA,51153,PRINCE WILLIAM,44745,52788,97533
73,2000,VIRGINIA,51155,PULASKI,5255,7089,12344
74,2000,VIRGINIA,51157,RAPPAHANNOCK,1462,1850,3312
75,2000,VIRGINIA,51159,RICHMOND,1076,1784,2860
76,2000,VIRGINIA,51161,ROANOKE,16141,25740,41881
77,2000,VIRGINIA,51163,ROCKBRIDGE,2953,4522,7475
78,2000,VIRGINIA,51165,ROCKINGHAM,5834,17482,23316
79,2000,VIRGINIA,51167,RUSSELL,5442,5065,10507
80,2000,VIRGINIA,51169,SCOTT,3552,5535,9087
81,2000,VIRGINIA,51171,SHENANDOAH,4420,9636,14056
82,2000,VIRGINIA,51173,SMYTH,4836,6580,11416
83,2000,VIRGINIA,51175,SOUTHAMPTON,3359,3293,6652
84,2000,VIRGINIA,51177,SPOTSYLVANIA,13455,20739,34194
85,2000,VIRGINIA,51179,STAFFORD,12596,20731,33327
