,year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,candidatevotes_log,totalvotes_log
0,2000,VIRGINIA,VA,ACCOMACK,51001,US PRESIDENT,AL GORE,DEMOCRAT,5092,11925,20220315,TOTAL,8.535425959677298,9.386392315756542
1,2000,VIRGINIA,VA,ACCOMACK,51001,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6352,11925,20220315,TOTAL,8.756525002926972,9.386392315756542
2,2000,VIRGINIA,VA,ACCOMACK,51001,US PRESIDENT,RALPH NADER,GREEN,220,11925,20220315,TOTAL,5.393627546352362,9.386392315756542
3,2000,VIRGINIA,VA,ACCOMACK,51001,US PRESIDENT,OTHER,OTHER,261,11925,20220315,TOTAL,5.564520407322694,9.386392315756542
4,2000,VIRGINIA,VA,ALBEMARLE,51003,US PRESIDENT,AL GORE,DEMOCRAT,16255,36846,20220315,TOTAL,9.696155832738006,10.514502343557455
5,2000,VIRGINIA,VA,ALBEMARLE,51003,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,18291,36846,20220315,TOTAL,9.814164414575925,10.514502343557455
6,2000,VIRGINIA,VA,ALBEMARLE,51003,US PRESIDENT,RALPH NADER,GREEN,2043,36846,20220315,TOTAL,7.622174594817622,10.514502343557455
7,2000,VIRGINIA,VA,ALBEMARLE,51003,US PRESIDENT,OTHER,OTHER,257,36846,20220315,TOTAL,5.54907608489522,10.514502343557455
8,2000,VIRGINIA,VA,ALLEGHANY,51005,US PRESIDENT,AL GORE,DEMOCRAT,2214,5123,20220315,TOTAL,7.7025561132685825,8.541495483939203
9,2000,VIRGINIA,VA,ALLEGHANY,51005,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2808,5123,20220315,TOTAL,7.940227765145702,8.541495483939203
10,2000,VIRGINIA,VA,ALLEGHANY,51005,US PRESIDENT,RALPH NADER,GREEN,62,5123,20220315,TOTAL,4.127134385045092,8.541495483939203
11,2000,VIRGINIA,VA,ALLEGHANY,51005,US PRESIDENT,OTHER,OTHER,39,5123,20220315,TOTAL,3.6635616461296463,8.541495483939203
12,2000,VIRGINIA,VA,AMELIA,51007,US PRESIDENT,AL GORE,DEMOCRAT,1754,4788,20220315,TOTAL,7.469654172932128,8.473868066677865
13,2000,VIRGINIA,VA,AMELIA,51007,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2947,4788,20220315,TOTAL,7.988542982737695,8.473868066677865
14,2000,VIRGINIA,VA,AMELIA,51007,US PRESIDENT,RALPH NADER,GREEN,40,4788,20220315,TOTAL,3.6888794541139363,8.473868066677865
15,2000,VIRGINIA,VA,AMELIA,51007,US PRESIDENT,OTHER,OTHER,47,4788,20220315,TOTAL,3.8501476017100584,8.473868066677865
16,2000,VIRGINIA,VA,AMHERST,51009,US PRESIDENT,AL GORE,DEMOCRAT,4812,11712,20220315,TOTAL,8.47886807709457,9.368369236201092
17,2000,VIRGINIA,VA,AMHERST,51009,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6660,11712,20220315,TOTAL,8.803874763534434,9.368369236201092
18,2000,VIRGINIA,VA,AMHERST,51009,US PRESIDENT,RALPH NADER,GREEN,135,11712,20220315,TOTAL,4.90527477843843,9.368369236201092
19,2000,VIRGINIA,VA,AMHERST,51009,US PRESIDENT,OTHER,OTHER,105,11712,20220315,TOTAL,4.653960350157523,9.368369236201092
20,2000,VIRGINIA,VA,APPOMATTOX,51011,US PRESIDENT,AL GORE,DEMOCRAT,2132,5927,20220315,TOTAL,7.664815785285735,8.687273461787838
21,2000,VIRGINIA,VA,APPOMATTOX,51011,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3654,5927,20220315,TOTAL,8.203577736937952,8.687273461787838
22,2000,VIRGINIA,VA,APPOMATTOX,51011,US PRESIDENT,RALPH NADER,GREEN,62,5927,20220315,TOTAL,4.127134385045092,8.687273461787838
23,2000,VIRGINIA,VA,APPOMATTOX,51011,US PRESIDENT,OTHER,OTHER,79,5927,20220315,TOTAL,4.3694478524670215,8.687273461787838
24,2000,VIRGINIA,VA,ARLINGTON,51013,US PRESIDENT,AL GORE,DEMOCRAT,50260,83559,20220315,TOTAL,10.824964811097583,11.333308248150352
25,2000,VIRGINIA,VA,ARLINGTON,51013,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,28555,83559,20220315,TOTAL,10.259587331098963,11.333308248150352
26,2000,VIRGINIA,VA,ARLINGTON,51013,US PRESIDENT,RALPH NADER,GREEN,3952,83559,20220315,TOTAL,8.281977058867758,11.333308248150352
27,2000,VIRGINIA,VA,ARLINGTON,51013,US PRESIDENT,OTHER,OTHER,792,83559,20220315,TOTAL,6.674561391814426,11.333308248150352
28,2000,VIRGINIA,VA,AUGUSTA,51015,US PRESIDENT,AL GORE,DEMOCRAT,6643,25271,20220315,TOTAL,8.80131894766524,10.137412772215015
29,2000,VIRGINIA,VA,AUGUSTA,51015,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,17744,25271,20220315,TOTAL,9.783802709590148,10.137412772215015
