Content,Platform,Title,Rating
"It's sleek, but not stylish; it's grimy, but in a cool, clean way. And though it's a show that relishes banter and verbal sparring, the action set-pieces are what truly draw you in...",Rotten Tomatoes,,
"... Despite the whole thing being an anti-spy thriller, this isn't Le Carré — it's a whole lot funnier.",Rotten Tomatoes,,
Slow Horses” remains one of the most entertaining and well-put-together shows around. The motions through which it goes are good ones.,Rotten Tomatoes,,
"After four seasons Slow Horses finally gets some Emmy recognition. This truly epic espionage thriller with Gary Oldman is everything a great series should be and more. With flawless source material and an epic ensemble, Slow Horses is storming stuff.",Rotten Tomatoes,,
"This remains Oldman’s show first and last, but everyone has a chance to shine.",Rotten Tomatoes,,
It’s still utterly brilliant.,Rotten Tomatoes,,
"Much like the veteran leader of the titular team of washed-up MI5 agents (played by Gary Oldman), the show hasn’t lost any of its edge into its fourth season. If anything, the latest offering is the finest it has ever been.",Rotten Tomatoes,,
"Slow Horses continues to be ludicrously implausible, and I wish Lamb and Diana would verbally spar more often (it’s so rare it feels like script rationing), but it’s still got the touch.",Rotten Tomatoes,,
"Slow Horses is thrilling, often improbably so. But it's also keenly attuned to the dynamics and psychology of the trade -- what it means to understand people as expendable pieces in an unwinnable game",Rotten Tomatoes,,
"And among car chases worthy of Hollywood blockbusters and several edge-on-your-seat shoot-outs, what makes Slow Horses season 4 essential viewing is that it’s all about relationships.",Rotten Tomatoes,,
Slow Horses is exciting and suspenseful TV and one of the great under-appreciated gems of our current streaming era.,Rotten Tomatoes,,
"Slow Horses complex characters continue to hash out their issues this season, and while everyone is exceptional, this is Lowden’s finest hour.",Rotten Tomatoes,,
"Still, such moments of earnestness are never overplayed in a show that, perhaps more than any other right now, celebrates that distinctly British penchant for caustic wit and withering cynicism.",Rotten Tomatoes,,
"Slow Horses never rushes and also never feels like a grueling slow burner. Like any good thriller, it doesn’t waste time and pays meticulous attention to how the plot should weave together by the end of the season.",Rotten Tomatoes,,
"With this level of output, you’d be forgiven for assuming the quality would vary wildly, and yet Slow Horses has become that most wondrous of things: a truly reliable televisual crowd-pleaser.",Rotten Tomatoes,,
"The depiction of the power-game shenanigans going on overhead, across town at the service’s Regents Park nerve centre, is another of its many joys.",Rotten Tomatoes,,
"Slow Horses may still be a safe bet, but it’s not entirely the same old same old.",Rotten Tomatoes,,
"If anything, each series improves slightly on the last. Watching it is pure pleasure. There isn’t a wasted scene or a duff piece of dialogue. Every performance is perfectly calibrated...",Rotten Tomatoes,,
"Slow Horses continues to be entertaining because of the show’s quirky characters, not the least of which is Oldman’s character Jackson Lamb.",Rotten Tomatoes,,
"[Director] Randall’s biggest achievement here is in not messing about with what came before. As with the directors of the previous seasons, Randall strictly adheres to Smith’s vision of what the latter has described as the “anti-Bond.”",Rotten Tomatoes,,
"Tackling a new case each season, while keeping the same format and framework, is enormously satisfying when done well.",Rotten Tomatoes,,
"As ever, though, it is Oldman you want to watch the most, contaminating the screen beautifully and weaponising how greasily disgusting he looks.",Rotten Tomatoes,,
"Season 4, adapted from Spook Street, the fourth novel in Herron’s series, raises the emotional stakes considerably for the elder Cartwright’s grandson River, the rising young agent who was condemned to the drudgery of Slough House...",Rotten Tomatoes,,
"No homework is required, nor is it difficult to get up to speed on what’s happening. You can just dive right into the latest adventure on this enormously entertaining show -- and if you haven’t yet, you should.",Rotten Tomatoes,,
"A good, dynamic show. It may start at a slow trot, but quickly gains momentum until it's a frenzied race to the unexpected conclusion.",Rotten Tomatoes,,
"Smart, funny, and emotionally resonate (there’s some sad, dark moments this time around that will undoubtedly reverberate into season five), this latest Slow Horses season is well worth your time.",Rotten Tomatoes,,
"Slow Horses is one of the consistently best shows on streaming. While the latest isn’t the best season in the series, it’s yet another reminder that Apple’s streak of picking winners remains unbroken.",Rotten Tomatoes,,
"Slow Horses Season 4 continues the series’s trademark thrilling, complex, and devastating narrative bent while innovating new developments to keep us on our toes.",Rotten Tomatoes,,
"There is no greater pleasure than to watch Gary Oldman work his magic on screen with the incomparable Kristin Scott Thomas, the wryly deadpan Joanna Scanlan and the brilliant Jonathan Pryce.",Rotten Tomatoes,,
"In Season 4, the hidden histories of the Cartwright family are revealed, creating an engaging and tension-ridden hunt for the truth.",Rotten Tomatoes,,
"Just as with previous seasons, it’s a little like a John le Carre novel with comedy, and season four is even better than the previous one, and as good as the first and second.",Rotten Tomatoes,,
"As impossible as it may sound, the new set of six episodes is the best yet.",Rotten Tomatoes,,
"It subverts the traditional spy story and reinvents it as a drama about a dysfunctional family. There is vinegary comedy and bone-cracking violence, too.",Rotten Tomatoes,,
[Adam] Randall’s work here is the most satisfying deployment of his skills to date.,Rotten Tomatoes,,
Season 4 of the best spy series on TV uncovers hidden agendas and poignant truths.,Rotten Tomatoes,,
"For fans of the show, season four won’t be a disappointment, pivoting to a new storyline that incorporates all the entertaining elements audiences have come to expect.",Rotten Tomatoes,,
"It’s one of the great shows to come out of Britain full stop. And series four delivers more of the same: a fully realised world, superb script, a stellar cast all at the top of their game and a lot of great action.",Rotten Tomatoes,,
"The most personal season of Slow Horses yet raises the stakes like never before, with Jack Lowden and Jonathan Pryce taking the spotlight in style. It’s just a shame the rest of our beloved band of rejects get somewhat lost in the mix.",Rotten Tomatoes,,
"One of the joys of Slow Horses is its ability to balance an inherently dramatic narrative with a wry sense of humor. That still exists, but Season 4 is more personal, and, thus, feels more consequential than its predecessors.",Rotten Tomatoes,,
"Darkly funny and tighter than the buttons on Lamb's sauce-stained shirt, this is yet another outstanding season for Apple’s brilliantly unconventional spy series.",Rotten Tomatoes,,
"Season 4 of Slow Horses is firmly the best of the show yet, boasting the most exciting and complex story we’ve seen so far",Rotten Tomatoes,,
"Such impressive performances really highlight how much this series values its characters. [...] The genuinely compelling – and surprisingly poignant – narrative is just a bonus, because it’s in the spies that this spy caper has always found it’s magic.",Rotten Tomatoes,,
"Gary Oldman plays the quintessential crusty old curmudgeon, an MI5 spy left over from the Cold War (and ostracised to Slough House), still parrying at shadows, and seeing real threats before anyone else.This is stylised Cold War spy craft in a modern setting - and it's a very satisfying watch. Another well-realised show that creates its immediate world with details of environment, character (and subterfuge) - the indispensable building blocks of good story telling.If you're just coming upon this show now that season 2 is released you should do yourself a favour and binge season 1 first - it's a good yarn and will offer a depth of character and situation that will add to your enjoymentSeason 2 appears to have lifted the game in terms of production design and cinematography - it's really paid off and elevated the show above the usual weekly episodic grind TV.Highly recommended - Oldman and Kristin Scott-Thomas are terrific, as are Jack Lowden and Saskia Reeves.",IMDB,Crusty old curmudgeon,9.0
"I watched this because I'd been watching foreign series and was tired of subtitles. So glad I did!Great cast of true characters - Gary Oldman - you can't go wrong with him. And same with all the rest. Finally a series that isn't polished and pretty, but it has a lot of grit and history.Binged all of Season 1 in one evening. Am anxious for Season 2.Something interesting to look forward to!!",IMDB,"Finally! A good spy series - by the Brits, of course!",9.0
Slow Horses is a pretty good spy thriller that's definitely worth watching. I never read the books so I didn't know much about it but the reviews have been great so I gave it a chance. Gary Oldman is as terrific as ever and leads a very talented cast. Oldman has been so great in so many movies/shows that it's hard to keep track but this is absolutely one of his best performances yet! I have to admit that the first 2 episodes started a little slow and it was hard to get into but by the end of episode 2 it really picks up and from there on out it will keep you entertained and guessing what's going to happen next! It's already been renewed for another 3 seasons (through season 4) which is pretty much unheard of so that right there should tell you how good this show is. If you're looking for a new show to watch and you're into spy thrillers then give this a try...you won't be disappointed!,IMDB,Solid Spy Series!,8.0
"Gary Oldman is brilliant, just brilliant. I've watched two episodes and I'm hooked. I love the story, the sets and setting, the acting is superb throughout. I will be watching the entire series more than once. It's the sort of Drama the UK was once famous for. A massive thumbs up to all involved.Have now watched Season Two, it's still stunning, the best TV Drama I've seen in years and years. An absolute must watch and I hope they do the full Eight seasons (Based on the Novels)I'm now watching Season Three...this is the best Television series I've ever seen. It's still above brilliant Three seasons in.",IMDB,Loving it....,10.0
I wasn't expecting to enjoy Slow Horses as much as I did. I was looking for a new show to watch to heard really good things about this show and you can't go wrong with Gary Oldman either. He's great in just about everything he's ever been in. It's no different here. He's the best thing about the show but not the only thing. The rest of the cast more than holds their own. I got so into this that I binged both seasons in just few days. It seems that most people enjoyed as much as I did because it's already been renewed for another two seasons! I can't wait to see more of this group of dysfunctional MI5 agents!,IMDB,Better Than Expected,8.0
Ignore most of the reviews here; either they didn't actually watch it long enough to understand what was going on or they were not bright enough.If you liked the books you'll probably enjoy it even though the characters were not quite as I imagined them.This is not a series to watch if you want a lot of action (The first episode may be misleading).This is not a series to watch if you want a handsome hero to ride of into the sunset with the girl (swap genders to whatever rocks your boat).This is a series to watch if you want geat characters and story.,IMDB,True to the books,8.0
"Gary Oldman has already proved himself as a master in the political and espionage thriller sub-genres, with his powerful performance in the Oscar-winning ""The Darkest Hour (2017)"" as well as the more understated by equally effective ""Tinker Tailor Soldier Spy (2011)"". He has portrayed gravitas, charisma, calm under pressure as well as steadfast efficiency very well on screen but Apple TV+'s new offering showcases an altogether different dimension to the British veteran, one laced with dry British wit and wry humour while never letting up on the espionage thrill elements.We follow the story of MI5 agent ""Jackson Lamb"" (Oldman) who runs a sub-group within the intelligence agency dubbed the ""Slow Horses"" since it is primarily composed of disgraced, underperforming has-beens who no one else seems to want. Lamb seems perfectly happy running routine operations and surveillance gigs when his team gets inadvertently embroiled in a kidnapping of a Muslim youngster, presumably executed by right-wing fundamentalists.Featuring Jonathan Pryce, Kristin Scott-Thomas, Saskia Reeves, Jack Lowden and a host of fine British actors, Slow Horses takes care to paint vivid character sketches of its motley crew of temperamental agents, all with a point to prove given their sordid pasts. Director James Hawes builds his narrative slowly but self-assuredly across six wholesome episodes, which are full of unexpected twists and turns as the stakes get progressively higher and the conspiracy, more convoluted as the team tracks down one lead after another.Oldman is in blistering form as the caustic, trash-talking spymaster who seems to use mockery and disdain as weapons to get his team to perform and the supporting cast play an able foil to the old master, creating a vivid world that intrigues as well as makes you chuckle at the most unexpected junctures. The writing from Morwenna Banks; Will Smith; Jonny Stockwood; Mark Denton deserve special praise for striking the right balance between character development, suspense, unexpected twists and humour. Apple TV+ has another winner on its hands, with ""Slow Horses"", alongside ""Severance"" clearly emerging as one of the Best new series of 2022. Highly recommended and I cannot wait for Season 2!",IMDB,Gary Oldman you monster!!,8.0
"This is an unusual case where it is better than the book it was based on. The books are SLOW, often going over unnecessary details not relevant to the story. All that is gone in the translation to visual media. The story is tight and while some details have changed, its to better fit with the format.Production values are top notch and Gary Oldman is great as Jackson Lamb. I don't know where some folks got that this is some woke drama, but the gender and racial makeup is on par with the original source material, so that guy who wrote the review needs to put his big boy pants on and join the real world.",IMDB,Better than the book,8.0
