"Title","Content","Rating"
"Brilliant","What can I say about The Crown that hasn't already been said? It's incredible! There are some that don't like it because they take some liberties with the story but overall it's pretty accurate, especially the first few seasons. You can tell the amount of effort they put into this show from everything from the writing, acting, cinematography, production, etc. All being as good as it gets for a television show. It chronicles the life of Queen Elizabeth II and the royal family from the 1940's to modern times. It gives you an inside look at the personal lives of the royal family including their romances and political rivalries. There's a reason this show has won so many awards and that's because it's brilliant!",9
"Brilliant","I have to be honest. I had refused to watch this show from the moment it was released. Being no fan of monarchies in general, or of the House of Windsor in particular, I wrongly failed to see the potential.But history always is interesting, especially when left in the hands of able writers and an absolutely spectacular cast. To a person, word for spoken word, I was drawn into this series headlong and found myself taken by this expertly crafted story.I love that the flaws and tensions that existed are exposed and leveraged. And I find myself reaching for the shelf and pulling out a book or two to refamiliarize myself with some event.In short it won me over and taught me a lesson or two in the process. What more can one ask?",9
"Brilliant!","The Crown is simply a brilliant piece of television. It's one of the most expensive shows ever made and you can tell because the production and attention to detail is amazing. I originally put off watching this because I thought it was a show aimed from women but I couldn't have been more wrong. It is for everyone! Even when they changed the main characters in Season 3 because of the time jump it didn't lose a beat. Both Claire Foy and Olivia Colman both lead amazing casts who all deserve all the praise this show gets!",9
"This is simply Outstanding","Every so often a drama comes along that takes away your breath. Sometimes that's subjective, other times objective. Dramas such as The Jewel in the Crown, The West Wing, Game of Thrones, House of Cards, Downton Abbey, House M.D. have all stood at the pinnacle of television drama.The Crown is right up there at the very top. It is outstanding in every way: faultless. From brilliant dramatisation to acting to score to cinematography: everywhere you look it commands.Watch it. You won't regret it. You will remember one of those television 'moments' that come along all too rarely.",10
"A grand and epic story of a very young, brave and brilliant woman!","I just watched the first two episodes and I already am in love with the story and characters! The acting is excellent as well as the directing, story line, costumes, sets, filming locations and everything else that has gone into the making of this series. It is well written and filmed and I am looking forward to seeing the remaining episodes. I have always been fascinated with history and this series takes you back in time. It has such powerful emotion and a lot of surprises which held my interest tremendously. So far, the episodes I saw went by quickly with me wanting to see more. If you are a history buff or interested in the Royal Family, don't miss this! It is a down to earth version of their lives and responsibilities. And so far, there are many things I did not know or appreciate. Definitely a learning experience and thank you for such a beautiful story! This is an addition to my previous post- I am now on episode 9 and if there aren't any awards for acting, I will be extremely surprised. John Lithgow's portrayal of Winston Churchill is award winning as well as Claire Foy playing the Queen. All of the acting is superb in my opinion and I don't want this series to end...",10
"Acting at its finest","Where to start is very difficult when it comes to what I can only describe as an amazing feat of production and acting. The cast are absolutely outstanding and are nothing but professional.You can tell a lot of effort has been put into the research and accuracy of the story line. The attention to detail also has to be credited.I can't find a fault and believe me I've tried. Having watched previous biopics/Dramas regarding royalty I will have to put this at the Top and that is including The Queen which again I would rate at 10/10.In summery a must watch if you are looking for a great piece of production and a stimulating story line. I would recommend this to anyone.",10
"A Visual Stunner","Regardless of what you may think of the Royals Netflix has poured a ton of money into this exquisite production about the life of Queen Elizabeth. It is a show which requires fixed attention as things progress at a unhurried pace. The opening musical evolution is enchanting and never grows old. Actress Claire Foy is beautifully riveting in the role of Elizabeth; someone who wants to have a normal life and yet is made to feel her duty as Queen should be the highest priority. It has been suggested the Queen is warm, has a sense of humor, is compassionate and this portrayal conveys it. She is wise enough to realize she's going to have to forge her own way as those around her are stymied in their own limitations or ignorance. John Lithgow transforms into Winston Churchill and is equally stellar. Their scenes together are superb. If Peter Morgan's research is accurate I can fully appreciate how Princess Diana must have felt. The show is rounded out by a wonderful supporting cast. This show is my favorite Netflix production so far.",10
"First 4 seasons are superb!","The first four seasons were simply superb with some genius casting - and accents to boot. The likes of Claire Foy and Matt Smith gave the show its charisma, along with incredible actors such as Pip Torrens and Alex Jennings, etc.. All fears of Matt Smith departing were allayed when Tobias Menzies stepped into the Prince Philip role.However, Season 5 isn't quite on the money. Whilst the new queen is very good, and the Diana Spencer character unbelievably like the real Lady Di, Prince Charles is somewhat of a let down. He appears to have ditched his royal accent for that of a regular Joe. Dominic West might be conscious of portraying a crass caricature, but caricatures are what we want. Prince Philip is no longer on par either (was Charles Dance not available!?!) and James Hewitt appears to have been randomly chosen. The show is still very good, and the likes of Lady Di's character keep it together, but it's starting to feel like a BBC drama, which is a shame.",8
"Wow! Tremendous series and the period details are painstaking and luscious","I watched with bated breath as Olivia Coleman took over from Claire Foy. Coleman embodies a mature Elizabeth, one who is calcified into a Royal with a stoic countenance, dowdy wardrobe, and a hint of what the crown has given and cost her.What really blew me away was the lavish attention to detail and period. The public and private spaces are painted in luscious colors, the furniture upholstered with richly hued brocade (so are the women come to think of it). The salons and libraries decorated with massive wood furniture. It's not comfortable - you can almost feel the drafty cold circulating throughout the palace, but it is a showstopper. No wonder they wore wool sweaters and tartan wool suits while lounging about.",10
"Elegant, extraordinarily written and acted","Probably one of the finest series currently streaming, with breathtaking cinematography, well developed stories and character arcs, with an astonishing cast. Olivia Colman replaced the great Claire Foy with brilliance, and the whole cast does an excellent job at portraying the characters, both in seasons 1/2 and the newly cast season 3. The amazing thing about the show is that, at the same time, the stories and people are portrayed as epic and down to earth. Nuanced and extravagant. I loved every single minute of it and I hope it continues for a very long time.",10
