Content,Platform,Title,Rating
"Unlike many movie-to-series adaptations, this one doesn’t just demonstrate an understanding of how the medium works; it actually improves upon the source material.",Rotten Tomatoes,,
"It does take some time for these two actors to find their groove together, and for the show as a whole to demonstrate that it knows where it’s headed and what it wants to be.",Rotten Tomatoes,,
"Finding worthy replacements for Glover and Erskine will be a tall order, but so far, the show has successfully filled the Americans void in my heart.",Rotten Tomatoes,,
"The filming style is very, chic and sexy, with a hint of darkness and danger, which help build the tension in the romance and espionage. With likeable and relatable characters, Mr. & Mrs. Smith is sure to be a hit and might be a worthy award contender.",Rotten Tomatoes,,
This entertaining series really misses out on answering every question you may have.,Rotten Tomatoes,,
"Mr. and Mrs. Smith is a fun and exciting reimagining of the film’s concept, and thanks to the approach the writers, the actors, and the directors have given it, it feels like a concept that could go even beyond in a future season.",Rotten Tomatoes,,
Mr. and Mrs. Smith tackles the intricacies of interracial relationships by showing us tough but open conversations.,Rotten Tomatoes,,
"Poised between dark humor and pulse-pumping action, Mr. and Mrs. Smith is so watchable that for most of its first season you may not notice it’s really not going anywhere. Or anyway it sometimes seems it’s going nowhere. Just wait until Episode 8.",Rotten Tomatoes,,
"When Donald Glover flexes his genius muscle along with his team of cinematic savants, things get really interesting, and fast.",Rotten Tomatoes,,
"There's an intimacy, a lived-in feel and hangout charm to this Mr & Mrs Smith... a series to commit to, embrace and relish.",Rotten Tomatoes,,
"Glover and Erskine are not Jolie and Pitt, and thank goodness for that. They are a new kind of pairing for a new generation, one that doesn’t need their heroes to be slick.",Rotten Tomatoes,,
"Instead of railing against these constraints, the show leans into them. John and Jane realize that their only real choice is learning how to live in full knowledge that their choices are illusionary.",Rotten Tomatoes,,
"Just as in the film, mundane everyday aspects of marriage are heightened by both John and Jane’s unfamiliarity with each other and their mutual professional obligations, which lead to some charming and thoroughly entertaining juxtapositions.",Rotten Tomatoes,,
Mr. & Mrs. Smith is one of those rare examples in which the series adaptation is superior to the original film. [Full review in Spanish],Rotten Tomatoes,,
"Glover and Erskine are charming, good looking and essentially carry off their roles. I say essentially because the banter is so deadpan it often misses the comedic timing to keep it going.",Rotten Tomatoes,,
"Sure, no matter its pleasures, Mr. & Mrs. Smith is ultimately disposable entertainment with questionable morals. And its last episode features a couple of familiar cliches. Other than those blips, the show is one of the nicest surprises of the early year.",Rotten Tomatoes,,
"Whether you're drawn to spy thrillers or character-driven dramas, this modern take on a classic tale is worth the investment.",Rotten Tomatoes,,
"Honestly, 8 episodes is not enough for a show this good. We need more episodes of Donald Glover and Maya Erskine just hanging out together. Mr. and Mrs. Smith is such a TV treat.",Rotten Tomatoes,,
"Nonetheless, those wanting (or willing) to embrace a well-produced and fun contemporary spy series will find it entertaining.",Rotten Tomatoes,,
Donald Glover and Maya Erskine star as spies-for-hire posing as husband and wife—and embody their generation’s emotional and economic malaise.,Rotten Tomatoes,,
"Overall, Mr. & Mrs. Smith is a series that is made all the more interesting for its flaws.",Rotten Tomatoes,,
It’s as if you’re watching an experimental attempt to serialize an already-overlong indie art film and foist it on an unwary public.,Rotten Tomatoes,,
"It goes deep where you expect broad, makes the most of a lavish budget -- location shooting in Manhattan and northern Italy, a juicy supporting cast -- and always keeps the focus on the evolving relationship between its two protagonists.",Rotten Tomatoes,,
"This Mr & Mrs Smith starts over from scratch with a completely new set-up. It behaves as if the original doesn’t exist. If there’s a lesson to be learned here, it’s that the best TV spin-offs are often those based on films that were nothing special.",Rotten Tomatoes,,
"A good binge that should have been a compelling, thought-provoking series with a distinct vibe that would have given us something to mull over each week. It’s not. It’s just a well-made spy series that is fun to watch but leaves little lasting impression.",Rotten Tomatoes,,
"It’s slick and smart. Sometimes it gets a little talky, but then it quickly cuts back to the action -- interspersed with the droll comedy that Glover and Erskine are known for.",Rotten Tomatoes,,
The steady pace of the show helps explore the chemistry between the two leads.,Rotten Tomatoes,,
The way Mr. & Mrs. Smith wrestles with the idea of compatibility — that it’s real and able to be clearly determined despite the obstacles — makes this feel like a show about dating first and spying second.,Rotten Tomatoes,,
"The show belongs to Glover and Erskine, who play well together, in harmony and dissonance.",Rotten Tomatoes,,
