"Title","Content","Rating"
"It's not Downton Abbey, and that's a good thing","There are a metric ton of poor reviews for the Gilded Age, most of which seem disappointed that it's not Downton Abbey. Of course it's not. Nor is it Gosford Park, Belgravia, The English Game, Doctor Thorne, nor any number of other series and movies that the Baron Fellowes of West Stafford has written or produced.The Gilded Age is best reviewed as a stand-alone series, and not any sort of spin-off or successor to the immensely successful Downton Abbey. Yes, the costumes and sets are spectacular, and the casting is sublime, led by the magnificent Carrie Coon (not ""Coons"", good grief. If you're going to put down her acting, the very least you can do is spell her name correctly). Other standouts are Morgan Spector, as robber baron. George Russell, and the always entertaining Nathan Lane, Cynthia Nixon and particularly Christine Baranski, as the witty, but sharp tongued Aunt Agnes.It's not necessarily the best show on television, but it's far from the worst, and an easy binge watch, with consecutive story arcs that are well conceived and written. It's not historical drama, it's a costume drama, with a superb cast, and tightly scripted dialogue. It's not Downton Abbey, nor does it pretend to be. It is, however, a peek into the extravagant lives of the very rich in Post Civil War America.",8
"Hilarious period dramedy","Downton Abbey was about upstairs/downstairs affairs in the UK, while this dramedy is about old money/new money in America.I found the writing hilarious. It's a dry, witty drama with many laugh out loud moments, although one needs to listen closely to notice them. This is not in your face, but subtle.The costumes are gorgeous and the acting superb, as you'd expect from HBO and the big names involved.Some of the previous reviewers commented that they didn't like how woke the show was, but I didn't notice that. As far as I could tell, gender and race issues are treated with historical accuracy.I love this new show and can't wait for more episodes.",9
"The crumbling of manners in New York city...","Julian Fellowes' mighty pen is back (and even more cheekier) in this lavish production. This time dealing with aristocratic socialite snobbery of the ugly kind, ruthless business affairs, political sabotaging, hidden homosexual relationships, racial prejudices, and society control freaks. (But I'm sure there is more after only viewing three episodes.)And we're talking about the year - 1882! A radical period in New York upper-society with the changing of the guard among the wealthy, and the young radical breed coming into play. All carried out in the delicious Fellowian style. With snappy and sassy dialogue, infused with a grand soap opera worthy of a Verdi music score.",8
"I love New York","I'm really enjoying this show. Don't know what took me so long to start watching it, but here it is December 2023 and I've started watching season one. I love period dramas and this one is no exception. Most of the period pieces are British which is great but a New York point of view is refreshing, The best part about this show is that it's not a slow burn. Something happens in every episode. I am so tired of Netflix slow burns where nothing happens and an 8 episode series could boil down to one or two episodes.. This one keeps me interested. I really enjoy the costumes. Wow the dresses are just gorgeous and the homes and furnishings are beautiful. I mean could you imagine having money and living in a time like that.",10
"Wonderful!","What's not to like? Fabulous sets, beautiful and authentic costumes, Broadway actors, and an intriguing story line. This isn't something to over-analyze; just enjoy it!!",9
"Phenomenal cast and twisty tales!","Love this story line. The cast of characters with focus on the hot tempered Mrs. Russell and Aunt Agnes, two very different people from different sides of the street per se, yet so similar in so many ways. The stubbornness to stand their ground in their beliefs to uphold their standards of living. One from a time silly being forgotten and the other making a point to bring New York into modern times.Being able to see the struggles of the rich and powerful, to the adversities of the poor and the black citizens of old America that still have some presence in today's society is all put together in this extremely well put together series!",10
"Love this drama","Really enjoyed watching this drama and hope they continue to season 3. Characters are intriguing and interesting. My favourites are Miss Ada and Marion as well as a soft spot for Agnes. There are characters you can love and hate. Really had no idea about the con Oscar would fall for and hope that a comeuppance will occur. If you liked downtown abbey then this is a must.I am really holding a hope for Marion and Larry in the romantic sense as well as Gladys eventually standing up to her mother. The one storyline I wish they would develop more and give her a story she deserves is Peggy Scott as well as I wish the we find out that Marion's railway shares are not worthless and build a story round that as well.",9
"Easily triggered? Then don't watch","Reading some of these reviews is almost as entertaining as the show itself. Some proclaim to love Downton Abbey (which by the way also raised sensitive issues such as class, heritage and sexuality) but when it makes a small subplot in an American show - the trolls emerge proclaiming ""no, no 'woke' stuff.""Anyway: The first episode is long but it does a good job of setting the stage. Love Baranski, Nixon did a fine job, Farmiga was not the right choice. Although I adore Coon as an actress (I'll never forget her performance in Leftovers), she didn't get to really flex in this role, yet.I eagerly await the continuation and will update my rating as the season moves on. Which it will as I am sure irritates quite a few but gives the majority of us no reason for concern.",8
"Beautifully Produced and Written","This show works as a fantastic fantasy where you imagine yourself as one of the rich and noble of Gilded Age New York.It's beautifully written, full of colorful characters that each feel as motivated and purposeful as all the others. Their lives are fleshed out and their potential for stories is always taken to its limit.Even though my own circumstances are about as far from the lives of these people as is possible, the show still managed to get me to feel for and understand the mentality and feelings of all the characters.Not every sub plot is a knockout and not every interaction is engaging, but it's one of the more consistent writing jobs done in this genre.Beyond the exceptional writing, it's a beautifully produced show. The costumes on particular are fantastic! Every episode brings a new set of special dresses to admire. And the sets.... Absolutely gorgeous. This is arguably the best show of it's kind in terms of production design.All around, I wasn't expecting much when I initially turned it on but I was very pleasantly surprised. It's fantastic.",8
"I don't get all the bad reviews...","I've been waiting this for a while, especially since Fellowes mentioned it, I knew the premise could deliver a good show, and so it is. I'm giving it a 7* for the time being for I know it could be an 8 but I will reserve judgement until the end of the season.Plus, all Fellowes' dramas are slow burners, even Downton Abbey was a bit much at first, there were dozens of characters presented at once, nothing made much sense until episode 3 so I knew what to expect on that regard but I want to make a defense, should that be the word, of this series. Aside of minor mistakes, façades not being the right stone, streets missing small details, the show presents the age rightly, especially one that was written a lot about, and mostly from a women's feud views. The men offer the backside of this, they didn't care about their wives' issues, they make business in between each other and let them manage the social side of their lives.The show is heavily inspired from Alva Vanderbilt's takedown on Old New York, her bid on becoming socially acceptable agains Mrs Astor's 400, the Knickerbockers. Old ways vs the new way, Americans, especially Newyorkers, finding their footing in the new order where the US was beginning to be a power in its own right, and so, then, of course, the Buccaners, the most famous 3: Minnie Stevens, Jennie Jerome, and Consuelo Vanderbilt, the first 2 ones ran away from NY due to the lack of acceptance their families had, Alva was of a sterner material, first she won at home, and then she placed Consuelo as a duchess in England. Shortly after she divorced her husband, marry the love of her life, and then became an activism for women rights, vote, etc. What a woman, ha!I also disagree with those who refer to this as woke, luckily is not, Fellowes loves to introduce these ""downstairs"" stories, and it is going to be one of the lines to go, so I like that, he is also usually thorough when it comes to details, I mean, don't expect seeing Peggy marrying a Vanderbilt or an Astor, he does not play with history on that regard but there will some surprise there for sure.I hope this one follows its course, it could run for 4 season easily, and more.",7
