Year,Emissions
1970,9.4149070473924
1971,9.4161924918836
1972,9.3830811888748
1973,9.933005464685
1974,10.25078496401
1975,8.8569177132342
1976,8.0235053699377
1977,8.6476139913867
1978,8.8128240547775
1979,8.5341672804845
1980,8.3122643831748
1981,8.2202767021341
1982,7.2708489487939
1983,7.4388223139471
1984,7.0947349346115
1985,6.4469450997647
1986,6.3081114124462
1987,6.4857774707699
1988,6.6991218320669
1989,8.1360236578397
1990,9.2897002020097
1991,9.323832568646
1992,10.252174090915
1993,10.433184243044
1994,10.481358324349
1995,10.841635964678
1996,11.182255228499
1997,11.379803216395
1998,11.895465079608
1999,12.197527088644
2000,12.252859476659
2001,12.32377611297
2002,12.279013897299
2003,12.655994252913
2004,12.612883220428
2005,12.598492247457
2006,13.992487323037
2007,13.890881252054
2008,11.47815391484
2009,9.628878310518
2010,9.2451361277638
2011,9.1798466471781
2012,8.5990123369608
2013,9.0677658914213
2014,8.8164896282446
2015,8.6890472387038
2016,9.2145248066985
2017,8.9215028758525
2018,10.327666212509
2019,10.07859361025
2020,7.4968578808768
2021,7.7016500615117
2022,7.7068461714037
