Year,Emissions
1970,3.7304157659807
1971,3.8495513689689
1972,3.4590394973712
1973,3.8318988929704
1974,4.0656478272144
1975,4.3940772739737
1976,4.9848164203402
1977,5.1671767143352
1978,6.0618357246279
1979,6.4675619303719
1980,7.8552119638779
1981,8.9590531489462
1982,9.4889530099614
1983,10.764428529912
1984,11.684949882312
1985,12.051722075499
1986,12.666039837246
1987,14.070606348508
1988,13.778022745532
1989,11.815651135777
1990,12.541824149831
1991,12.881110379458
1992,15.053749883085
1993,15.676078569111
1994,16.279475089618
1995,17.282012931713
1996,17.655071535797
1997,18.233239556068
1998,18.574004355016
1999,18.747296900605
2000,20.462286800115
2001,20.699030008921
2002,21.635850410164
2003,22.319912389453
2004,23.923605602571
2005,25.593423134295
2006,26.000131078423
2007,27.129176119114
2008,26.839231420976
2009,27.393486850632
2010,27.144795059408
2011,28.012352102546
2012,31.857054043854
2013,31.622943362335
2014,33.837992156916
2015,33.918115089301
2016,34.113005280642
2017,35.693838331935
2018,34.759363814722
2019,33.391968071205
2020,31.501563227132
2021,33.537085685193
2022,34.539189108946
