Year,Emissions
1970,24.912396753423
1971,25.375225710893
1972,26.130354202079
1973,26.592592394174
1974,27.005115261843
1975,27.345169295991
1976,27.835621709846
1977,28.72073649212
1978,30.446394538905
1979,32.35850574565
1980,31.09204694419
1981,31.008061615541
1982,32.793916054985
1983,35.048447242888
1984,36.738525958817
1985,36.818680979589
1986,38.137140591988
1987,38.588451210061
1988,40.525152288174
1989,42.059743411496
1990,42.67480048085
1991,41.982667904235
1992,42.575887341946
1993,43.140121785146
1994,43.885952900295
1995,44.703045745488
1996,44.062868944693
1997,44.187345897874
1998,45.353743851535
1999,48.308032816142
2000,47.458555772199
2001,48.5862749846
2002,51.141033278249
2003,52.644395700636
2004,57.205934414089
2005,59.858506506408
2006,58.837742029871
2007,78.83086351117
2008,83.79281625939
2009,82.916230550822
2010,86.725659856537
2011,87.805954375434
2012,86.421287294899
2013,86.988236065012
2014,89.620356966592
2015,92.11412277043
2016,98.68315598398
2017,96.050039422916
2018,98.570919398875
2019,107.98905747035
2020,109.71058087857
2021,114.26520980619
2022,117.89479096854
