Year,Emissions
1970,20.060828147877
1971,20.898322695619
1972,21.856895307137
1973,22.768532933974
1974,23.780896071262
1975,24.92085366141
1976,25.474738367243
1977,25.949419392508
1978,26.777166438962
1979,27.340077484589
1980,28.278634562703
1981,27.986500309403
1982,27.847913725984
1983,27.682190530132
1984,27.797014466148
1985,27.814360367556
1986,28.278533368285
1987,29.086607314126
1988,29.34009169191
1989,29.341546157731
1990,33.702702505753
1991,30.965106531555
1992,22.975060006339
1993,18.581485575683
1994,14.067638357669
1995,10.86874492706
1996,11.676201866172
1997,12.105935027441
1998,12.469834001756
1999,11.319847131269
2000,11.292106658928
2001,10.471948207964
2002,11.562420462363
2003,12.246882322277
2004,12.191562989671
2005,12.045131910495
2006,11.930680590315
2007,13.278461566721
2008,14.654000474889
2009,14.617242325638
2010,14.370912210037
2011,16.47283201451
2012,18.509327303687
2013,18.475036825849
2014,19.457635505658
2015,19.953948412953
2016,19.761835118349
2017,20.101588041073
2018,22.206538501236
2019,21.27667841909
2020,20.331201307087
2021,21.473966567006
2022,21.939593497169
