Year,Emissions
1970,6.9668936356307
1971,7.1433091025694
1972,7.7074705950569
1973,9.1556011464821
1974,9.2072544911679
1975,8.2990014576656
1976,7.9240010661088
1977,7.065506339082
1978,8.3750747765845
1979,9.2303351431603
1980,9.3802309566386
1981,9.5049305795032
1982,7.5143631861983
1983,7.8924727212099
1984,8.0559391965984
1985,9.0806720844548
1986,9.5014528833628
1987,9.6918342826284
1988,7.9186624137528
1989,8.0086987775314
1990,8.0597310789353
1991,9.6967989692822
1992,10.392728264545
1993,13.978493471019
1994,15.162386365632
1995,17.337339721373
1996,18.027465460755
1997,19.59906026645
1998,19.618033828165
1999,20.181453265382
2000,18.654936053637
2001,20.097080956398
2002,20.235463441161
2003,20.510126321394
2004,20.952202137647
2005,20.980472125136
2006,20.639353714333
2007,19.491892232267
2008,22.943671814214
2009,26.426783118471
2010,25.595281678666
2011,26.198744343632
2012,29.010880544552
2013,28.928111175835
2014,31.077272947718
2015,33.364042173354
2016,34.620225554347
2017,36.324702053161
2018,34.688633281946
2019,34.47402338325
2020,29.173509563895
2021,30.625743234473
2022,31.926805185209
