Year,Emissions
1970,1.9749761864648
1971,1.8841623709686
1972,1.8452486167847
1973,1.8278116516325
1974,1.8913656898956
1975,1.9485518852749
1976,1.931918140459
1977,1.8009167825298
1978,1.8285543965635
1979,1.9141463104705
1980,2.0286603954821
1981,2.048141158976
1982,2.0832732913384
1983,2.0580525312466
1984,2.0431764976861
1985,2.1301223815259
1986,2.163981883531
1987,2.4650784684842
1988,2.3936865160575
1989,2.332923687675
1990,2.2068319155473
1991,2.2477860999516
1992,2.4112709302724
1993,2.3719162936713
1994,2.3193833633444
1995,2.2721993257684
1996,2.1883572853222
1997,2.2702300906759
1998,2.0211383822728
1999,2.5873355681078
2000,2.7357811287376
2001,2.7667853023331
2002,2.6289660427036
2003,2.6637085157192
2004,2.6666093687832
2005,2.8303231754633
2006,2.7917943722015
2007,2.931309842067
2008,2.7912266961029
2009,2.8786709782788
2010,2.8908003436254
2011,2.9205642425998
2012,2.9891195239122
2013,2.8802831538242
2014,2.8917088890531
2015,2.8546814727036
2016,2.8639050462766
2017,3.0553510881057
2018,2.9028603761579
2019,2.7846910472996
2020,2.9587052812953
2021,2.9609036487483
2022,3.023078869608
