Year,Emissions
1970,1.6689898235741
1971,1.692226578191
1972,1.7215444078427
1973,1.7816199725782
1974,1.850854112732
1975,1.8954443529548
1976,1.953827944263
1977,2.1232161550499
1978,2.1663453873151
1979,2.4259904551115
1980,2.3989637782972
1981,2.2300928083461
1982,2.1925457966225
1983,2.2954873133731
1984,2.1977034129752
1985,2.2244472183534
1986,2.0917673432047
1987,2.1479851243504
1988,2.426674253912
1989,2.1779204210807
1990,1.7904470516404
1991,1.6061599538176
1992,1.4959011863222
1993,1.4193386338074
1994,1.3881283974847
1995,1.4121198686578
1996,1.4903026279195
1997,1.5895883305763
1998,1.7470186694603
1999,1.8997818412108
2000,2.1385054702757
2001,2.2286890350283
2002,2.2773989422961
2003,2.3555216943239
2004,2.4742045774655
2005,2.6973103541598
2006,2.8958087093447
2007,2.884357979845
2008,2.8793113187112
2009,3.01585954591
2010,3.3626660904233
2011,3.5413629433832
2012,3.7338614870132
2013,3.7378195396505
2014,4.1493715421625
2015,4.3313206053969
2016,4.4896580933527
2017,4.370336198575
2018,4.6498884071284
2019,4.8331845757714
2020,4.9847292093009
2021,5.2076874610226
2022,5.3112161644582
