Year,Emissions
1970,28.548416410038
1971,29.487484545442
1972,30.971854837285
1973,32.631550805334
1974,34.21927623447
1975,36.326037830349
1976,37.240836618301
1977,38.004034655677
1978,39.331033724964
1979,40.184452761984
1980,41.409246212896
1981,41.124381268998
1982,41.063800250739
1983,41.215666223979
1984,42.152629874264
1985,42.3302732022
1986,43.109411121493
1987,44.197457261733
1988,44.439154052056
1989,44.723486576855
1990,46.631438357486
1991,48.236826583414
1992,31.08290818631
1993,24.674851099486
1994,23.054439847743
1995,21.874047599569
1996,22.385765994869
1997,21.956582923678
1998,22.915367508351
1999,20.045031347081
2000,18.450620356653
2001,19.132799114765
2002,19.633608732195
2003,19.719727829595
2004,20.616912095201
2005,21.676316880565
2006,22.000671577402
2007,24.152091806555
2008,24.859108662644
2009,21.804868383411
2010,22.761479956918
2011,23.617913520637
2012,23.943467041972
2013,22.431593012271
2014,22.499516596893
2015,23.273946737704
2016,22.690845204083
2017,23.042273713234
2018,22.784715500936
2019,22.962917164174
2020,22.711257428695
2021,22.238703941559
2022,20.846858807768
