Year,Emissions
1970,19.249776995479
1971,18.008976655926
1972,17.729685384095
1973,19.130433705747
1974,17.805878058743
1975,14.330719471901
1976,15.225348079714
1977,14.517505081558
1978,15.810856959881
1979,14.948587998838
1980,14.111908853278
1981,12.125402270616
1982,11.440159728666
1983,10.786413511322
1984,11.736975790136
1985,11.938413689054
1986,11.674410412896
1987,11.146318545436
1988,11.680489191539
1989,12.501044955109
1990,12.669763604769
1991,13.146277916075
1992,12.813735901995
1993,13.086925779889
1994,12.220168072822
1995,9.9852743148013
1996,9.9974304434814
1997,9.4801192779968
1998,8.7755611988104
1999,9.1751131806552
2000,9.8092351736302
2001,10.340566170349
2002,11.024400550492
2003,11.428944469129
2004,12.85299641739
2005,13.072158552331
2006,12.878882237242
2007,12.294964617968
2008,12.173081145978
2009,11.566800023079
2010,12.211372376756
2011,12.053792227554
2012,11.807825520337
2013,11.27482350912
2014,10.778974476529
2015,10.242975862878
2016,9.9943063779064
2017,10.147659759329
2018,10.445046568897
2019,10.62196188887
2020,8.9807674585531
2021,9.5297101677214
2022,8.4756406552428
