Year,Emissions
1970,0.36142233513414
1971,0.36225204316241
1972,0.38007525190851
1973,0.44545285770818
1974,0.53297679527228
1975,0.4496030576702
1976,0.44260562462348
1977,0.46341577854502
1978,0.46014093664265
1979,0.49172028573511
1980,0.52688778639648
1981,0.50840362254914
1982,0.53188381010787
1983,0.7128405641694
1984,0.69539531217004
1985,0.63883033076179
1986,0.78145953226434
1987,0.95178328457187
1988,0.93307588107454
1989,0.95664148581474
1990,1.0108627295604
1991,1.0078684967457
1992,1.0485461940345
1993,1.1225601562401
1994,1.2494622633294
1995,1.2034329639615
1996,1.4001069216899
1997,1.5275862164653
1998,1.6873516755758
1999,1.7303035766153
2000,1.7385243424866
2001,1.811281357908
2002,1.952823409949
2003,1.9903240648815
2004,2.2865175113649
2005,2.3036577460723
2006,2.2851117942471
2007,2.0630368570179
2008,1.7364653401642
2009,1.8978197006344
2010,1.8828255061725
2011,1.8629195538313
2012,1.9187501198508
2013,1.9773057293209
2014,2.2450178170077
2015,2.9859858516884
2016,2.848669320389
2017,3.3661518248287
2018,2.6703982235965
2019,2.8842771489074
2020,2.3017402427078
2021,2.3760216084803
2022,2.4141181876301
