Year,Emissions
1970,33.132537024089
1971,33.92213366212
1972,34.694838570044
1973,34.99609401593
1974,37.450210114281
1975,39.403685095735
1976,42.377818293351
1977,42.591887718621
1978,44.76733025366
1979,50.788024459187
1980,52.373129667348
1981,53.420368741191
1982,55.749845766346
1983,62.162153385325
1984,66.052563171353
1985,68.77493265554
1986,71.271085860008
1987,72.852446574038
1988,76.717031556391
1989,85.519778283239
1990,94.791496271792
1991,107.98601742564
1992,112.29525779006
1993,120.21096806437
1994,127.09836073016
1995,133.97982779147
1996,151.6954103005
1997,164.20380338703
1998,162.2358295898
1999,171.69829289238
2000,185.30838259352
2001,192.3689334832
2002,202.76948444807
2003,215.71855631942
2004,233.38642849024
2005,246.07808990317
2006,254.36343435868
2007,271.89684093839
2008,285.43181636043
2009,264.20800671071
2010,279.81705376456
2011,282.23660801633
2012,284.64046284547
2013,304.15645493843
2014,318.5790265661
2015,321.30943126868
2016,318.39387604717
2017,307.93452420164
2018,326.31415068193
2019,329.66787608893
2020,324.52086053796
2021,334.67042794114
2022,353.91739494868
