Year,Emissions
1970,0.40702244264679
1971,0.41726563236303
1972,0.4631341304205
1973,0.46891068894772
1974,0.44601790224249
1975,0.48793675155195
1976,0.47127086504433
1977,0.49783396033356
1978,0.50034791603382
1979,0.50167731555739
1980,0.51618348226864
1981,0.5267494047894
1982,0.5209818398322
1983,0.50185788925013
1984,0.49636281945117
1985,0.54640114855541
1986,0.56802726829505
1987,0.61952491203047
1988,0.72294347437559
1989,0.89621761804833
1990,0.91904717544121
1991,0.83372724315803
1992,0.86590578109776
1993,1.0196753338055
1994,1.0060110719934
1995,1.0036655840204
1996,0.99488134073738
1997,1.0090377212379
1998,1.0207182457854
1999,0.99789257688904
2000,0.84141903560305
2001,0.86067521791208
2002,0.8751190128461
2003,0.88800814022093
2004,0.88728473063773
2005,0.8750258719191
2006,0.92676358465365
2007,0.97740134639537
2008,0.98987714562565
2009,1.0654112647805
2010,1.1347459655992
2011,1.1709047017745
2012,1.181418318596
2013,1.1900378314107
2014,1.2254925866619
2015,1.0816279898637
2016,1.0903871392511
2017,1.0550906172901
2018,1.0525213364734
2019,1.0439124998882
2020,0.90871558302288
2021,1.0478257168459
2022,1.0783861739992
