Year,Emissions
1970,5.6950957401192
1971,5.5536718747625
1972,5.1167138394966
1973,5.0149343568058
1974,4.3689962481478
1975,4.4971189053164
1976,4.7245264892358
1977,4.9183237285561
1978,5.0156156577493
1979,5.1879899841565
1980,5.3045006427464
1981,5.5946232533068
1982,5.7204348730183
1983,5.2534966299328
1984,5.2234037646865
1985,5.5000234608381
1986,5.3990779748789
1987,5.8642584575908
1988,6.2195846540978
1989,6.5158049357285
1990,6.6497983089083
1991,7.0381288735567
1992,8.3022507803967
1993,8.4168865389775
1994,8.3901303836429
1995,8.5076870916258
1996,8.8677444145642
1997,9.2789926912633
1998,9.6531144759932
1999,10.273411997985
2000,9.092788978139
2001,9.4957781646698
2002,9.9009848512464
2003,10.169165390111
2004,10.177441999365
2005,10.404490760794
2006,11.144583162599
2007,10.873611970012
2008,10.661896775084
2009,11.160698950495
2010,11.432131075484
2011,11.810388116507
2012,12.370681354135
2013,12.419179293138
2014,13.145835467525
2015,13.537569102688
2016,13.399072274567
2017,14.679668911201
2018,15.086960986971
2019,15.673861575769
2020,15.767957934439
2021,16.329856540417
2022,16.669924598803
