Year,Emissions
1970,0.90275326272753
1971,0.94456875149089
1972,0.98792368697234
1973,1.0294968575853
1974,1.0834756119797
1975,1.0928698409336
1976,1.1602234903606
1977,1.2671005512925
1978,1.2787658126316
1979,1.288721369042
1980,1.2436134650525
1981,1.2674838872822
1982,1.2348222081558
1983,1.3117333818402
1984,1.3664082557075
1985,1.3426055920371
1986,1.5087670687654
1987,1.5789386440461
1988,1.6663255393695
1989,1.7967693186955
1990,1.9778059072108
1991,2.0591833855977
1992,2.1435549353406
1993,2.2783866726066
1994,2.3324579252275
1995,2.4006771777076
1996,2.4917108520315
1997,2.5100035038668
1998,2.6956446823179
1999,3.1107333723274
2000,3.3966642271614
2001,3.5498935306495
2002,3.5414687299221
2003,3.6300121587178
2004,3.6824621350174
2005,3.8404959274539
2006,4.5964758310943
2007,4.7331845174776
2008,4.8562406630408
2009,4.8567285418536
2010,5.148374131068
2011,5.1776875769989
2012,5.2895096306155
2013,5.4512616721836
2014,5.6477200316006
2015,5.6988224719291
2016,5.8121013304733
2017,6.0542233820381
2018,6.0454636237435
2019,6.1466029594747
2020,5.7323867039659
2021,6.0873372968957
2022,6.4090480844138
