Year,Emissions
1970,217.97527390136
1971,219.87223517263
1972,234.16998079992
1973,246.71230406064
1974,266.77499433779
1975,281.37342791157
1976,296.97965106237
1977,307.56262153397
1978,334.71282247148
1979,351.94774047795
1980,384.33075200056
1981,411.16728252339
1982,435.65008423107
1983,421.57048123681
1984,428.11967884009
1985,441.73200928665
1986,438.07051913263
1987,451.12004968568
1988,450.22943538222
1989,468.79546485153
1990,466.4191561665
1991,484.87647193108
1992,490.04284823856
1993,506.69152358833
1994,539.55245847188
1995,530.61319625667
1996,553.10215249118
1997,586.92422329287
1998,615.99973860801
1999,605.30521276246
2000,634.16715542786
2001,633.56039726101
2002,643.02505861524
2003,671.19055030875
2004,683.20343259677
2005,707.9797239201
2006,733.12503641183
2007,748.09868089367
2008,757.08137176874
2009,751.55750874349
2010,768.84310618821
2011,782.71064354952
2012,800.25714300641
2013,793.12758267174
2014,781.80566861691
2015,790.36300496173
2016,799.04706728169
2017,802.74157740749
2018,780.81698304429
2019,790.99662863407
2020,739.31648326809
2021,765.46126652051
2022,819.87288291533
