Year,Emissions
1970,10.296888250329
1971,10.47310911511
1972,10.102155654211
1973,10.461308698305
1974,10.381304113925
1975,10.053776629088
1976,9.9240978351858
1977,9.8432084911305
1978,9.539341014131
1979,9.540652951691
1980,10.060264625146
1981,9.8955188371527
1982,11.303898822341
1983,11.192325112978
1984,10.324549930677
1985,10.830264033184
1986,10.654337830261
1987,10.271311665544
1988,10.032344710896
1989,10.425533805756
1990,10.380460151898
1991,10.143602708409
1992,10.515959391286
1993,10.749032913442
1994,11.163617352041
1995,11.485026880902
1996,11.759237911552
1997,10.58782685078
1998,12.587216558691
1999,12.188886284421
2000,12.981721060659
2001,13.740126417352
2002,14.60982765375
2003,15.140175493657
2004,16.27514001378
2005,17.94722740036
2006,17.960396005951
2007,18.643441119431
2008,18.448344347798
2009,17.66338868146
2010,18.72056755686
2011,23.857289653077
2012,27.151012429266
2013,28.895072225891
2014,30.40910416507
2015,30.181126449601
2016,32.895108065861
2017,35.740756522128
2018,38.692564766542
2019,36.618764955748
2020,34.710719520432
2021,37.716242697362
2022,40.072071149996
