Year,Emissions
1970,25.311787489816
1971,25.635424440241
1972,25.307282915048
1973,26.456191172624
1974,26.811368125884
1975,27.250701300042
1976,27.523871246503
1977,27.954233524433
1978,28.182040640507
1979,28.394724482964
1980,29.256808077503
1981,29.361692691796
1982,28.901879068165
1983,30.04897181664
1984,30.537301533611
1985,30.434501040225
1986,30.208525518964
1987,31.096021509247
1988,31.389854090761
1989,31.11402681237
1990,31.604992217954
1991,31.523814743262
1992,30.371679025131
1993,31.955281944912
1994,32.24712788883
1995,33.769195012233
1996,34.143874305341
1997,34.443752979211
1998,34.794177511254
1999,35.723745001209
2000,36.063503986594
2001,36.350168478295
2002,36.158094361566
2003,37.098340806918
2004,36.914933641779
2005,37.509230169664
2006,37.407251279969
2007,37.312804531152
2008,38.888293007245
2009,40.58954599389
2010,41.375460757435
2011,42.598926966111
2012,44.164875663072
2013,44.456064021224
2014,45.922012370769
2015,45.726379574864
2016,49.37642440273
2017,53.401301337859
2018,55.356346487795
2019,54.541126380451
2020,55.484553538707
2021,56.556241260163
2022,56.735142215511
