Year,Emissions
1970,1.3527989471395
1971,1.3540349649166
1972,1.4223359235516
1973,1.6455221619313
1974,1.9113822309888
1975,1.6725979197944
1976,1.6542483507387
1977,1.7408040278245
1978,1.7626634522647
1979,1.8568924707606
1980,1.9609839143261
1981,1.9083314152946
1982,1.3938553427432
1983,1.3413880013702
1984,1.412748869108
1985,1.789796979534
1986,1.7331435734801
1987,1.8737973299648
1988,1.8449403882278
1989,1.942837393101
1990,1.9087312328293
1991,2.0118782824611
1992,2.0077190116919
1993,1.9295968357288
1994,1.9261343274341
1995,1.9152785575317
1996,2.0901361463167
1997,2.107624053725
1998,2.1521936789456
1999,2.2219879979138
2000,2.6647404254638
2001,2.6671386530758
2002,2.9141020572648
2003,3.160425771016
2004,2.8776705411871
2005,3.1431713642576
2006,3.0533958423843
2007,3.0962890404125
2008,3.1122279355108
2009,3.1785046884318
2010,3.9754875058177
2011,3.9496868577163
2012,4.0004931463888
2013,4.3800035713742
2014,5.3371259809772
2015,5.1359917743586
2016,5.5078045244916
2017,5.3310969086464
2018,6.7887015040375
2019,6.8321755345762
2020,5.4663897502035
2021,5.6478664090944
2022,5.6879095649134
