Year,Emissions
1970,186.68331076161
1971,201.79046279753
1972,236.95097076703
1973,268.06045047153
1974,301.29952567534
1975,247.68054340802
1976,282.13211609299
1977,277.01414591768
1978,267.1566421137
1979,329.96713572464
1980,304.97717769381
1981,244.16037293346
1982,232.16631247869
1983,230.04119161337
1984,242.86769757018
1985,255.72271532822
1986,253.15191369058
1987,241.16589514465
1988,261.19399528715
1989,286.69853235092
1990,287.31387334775
1991,303.41410276815
1992,327.99569081378
1993,332.16848125398
1994,357.34903773001
1995,389.51615054849
1996,448.3535836001
1997,424.68976538215
1998,392.98843543147
1999,381.34883233301
2000,419.53901839874
2001,427.49861766537
2002,375.34829497043
2003,414.84958379126
2004,407.71014661863
2005,399.97877464555
2006,375.62884411617
2007,356.62269882892
2008,359.47285768853
2009,339.94232101794
2010,367.02191680822
2011,391.00954880532
2012,395.21779186239
2013,398.07011053042
2014,410.48587892842
2015,404.08405738855
2016,400.67900874828
2017,408.75097360464
2018,419.47810744311
2019,434.70753031038
2020,408.24546570583
2021,409.44849600098
2022,407.69023844052
