Year,Emissions
1970,12.30744436946
1971,11.751010728712
1972,11.751361998518
1973,13.129476878228
1974,13.510815529102
1975,11.469027126243
1976,11.865904236493
1977,12.137865579233
1978,11.825207590231
1979,13.000516830836
1980,12.161599105977
1981,12.992115989375
1982,11.60716316881
1983,11.049201003691
1984,12.522792721733
1985,13.001764308673
1986,13.245114871654
1987,12.877672009234
1988,13.015656663629
1989,13.182022633315
1990,14.468729657223
1991,12.968915389434
1992,11.642468883158
1993,11.848008039355
1994,11.604705388788
1995,11.464760035155
1996,13.06858617171
1997,11.916030491087
1998,12.741804720026
1999,11.838766304143
2000,11.493964107519
2001,11.600196976704
2002,11.050198739287
2003,11.819649400796
2004,11.982780123668
2005,12.439574952365
2006,12.14204811784
2007,12.903345868219
2008,12.74776735963
2009,11.657869460391
2010,11.822509415762
2011,12.990175640073
2012,12.388429444205
2013,11.520179656519
2014,11.052604071822
2015,10.645092731114
2016,10.346519566409
2017,10.80179208667
2018,10.353488440776
2019,11.407824841153
2020,10.386553461564
2021,11.152928097075
2022,11.183801468948
