Year,Emissions
1970,55.200631885192
1971,53.620920074768
1972,57.223716281974
1973,58.896692234108
1974,57.909345855557
1975,56.609402648414
1976,59.641297878306
1977,60.899972809083
1978,60.64664486276
1979,64.617297181619
1980,63.327520043709
1981,59.669408246727
1982,55.526516344534
1983,56.094970246927
1984,59.27037599594
1985,60.081275982748
1986,61.963701905148
1987,61.146691211911
1988,63.138330358804
1989,62.922616985778
1990,62.914096886733
1991,60.225600715746
1992,60.930512004812
1993,64.105367598984
1994,67.627361691443
1995,68.061853953927
1996,70.184973109151
1997,73.29736326371
1998,74.238273114468
1999,76.006426518715
2000,72.380909545317
2001,73.18216424017
2002,72.696821811667
2003,76.71276890351
2004,77.54825204973
2005,74.508990940846
2006,74.85733564558
2007,75.548595670468
2008,76.041520333944
2009,73.272007175042
2010,76.164190448229
2011,73.810920847389
2012,72.390871051133
2013,72.572624935215
2014,72.538173548654
2015,74.295567371231
2016,73.377794167718
2017,73.862427329022
2018,72.701659701896
2019,70.395715125276
2020,70.082848420124
2021,71.67911198877
2022,69.965484010142
