Year,Emissions
1970,104.99351231212
1971,105.31573348174
1972,107.26657910926
1973,110.35649317179
1974,114.35934531229
1975,119.80727801356
1976,121.44029652163
1977,127.25190698141
1978,132.47347686807
1979,137.31344876247
1980,138.08649112847
1981,143.89397843992
1982,150.94542416988
1983,154.6448541822
1984,159.6499995266
1985,167.18847580795
1986,182.15138609539
1987,190.82086840368
1988,198.79469163842
1989,208.11226032985
1990,215.0328795174
1991,215.49341678541
1992,226.41574837341
1993,238.81802077295
1994,243.69573264148
1995,255.28729572414
1996,264.69547995584
1997,272.03546099023
1998,278.46766899995
1999,291.98071253039
2000,296.59395727264
2001,300.25541470498
2002,307.35430957336
2003,320.84116000322
2004,341.86247601203
2005,351.12865367995
2006,373.06442216833
2007,395.30814591319
2008,399.28801415161
2009,409.59462923883
2010,400.09365105053
2011,411.14701692373
2012,414.07676623613
2013,428.09033691761
2014,445.13280501535
2015,455.75294174515
2016,487.42256783853
2017,512.76621896397
2018,510.55901063628
2019,517.30471191034
2020,527.43605402503
2021,561.01490281717
2022,546.09930691679
