Year,Emissions
1970,6.3812478796555
1971,6.5712371729393
1972,6.8889634716498
1973,7.2806229490815
1974,7.4365524842448
1975,7.5820544396182
1976,7.6468055496081
1977,7.6063094545909
1978,7.4405166187253
1979,7.7629799469351
1980,7.5721624360252
1981,7.2539609848998
1982,7.6550193896394
1983,8.14883103431
1984,7.5249044691323
1985,7.3298988108491
1986,7.4278764585383
1987,7.7261077586283
1988,7.0199487274883
1989,7.190833672394
1990,7.3658869921675
1991,7.8588605770029
1992,8.5807962174003
1993,8.7277098464038
1994,9.0638431777659
1995,9.4170677066868
1996,9.4569398224341
1997,9.4726963644269
1998,10.766700386676
1999,10.021204301194
2000,10.195414316918
2001,11.71546614805
2002,11.010913318101
2003,11.120295784933
2004,11.138637890016
2005,12.934923054599
2006,13.419705247019
2007,13.353525355142
2008,13.353372533208
2009,14.857438693328
2010,15.464707806595
2011,16.52529371175
2012,16.98535406395
2013,16.881006298544
2014,17.229344306091
2015,17.031054072509
2016,17.220680368157
2017,16.749049977095
2018,16.704465625315
2019,19.909708357998
2020,16.464461096012
2021,17.864190011843
2022,18.47764432586
