Year,Emissions
1970,1.8555462485196
1971,1.8976224963788
1972,2.0152917424564
1973,2.3022768137582
1974,2.6853516817016
1975,2.4146404695015
1976,2.4354675010132
1977,2.5457191631062
1978,2.5623608321768
1979,2.7125729476835
1980,2.8662964960761
1981,2.884370494534
1982,2.9283672542852
1983,2.9692225698765
1984,3.0927755319052
1985,3.2557646756799
1986,3.1756965370895
1987,3.6253027441459
1988,3.5164679275131
1989,3.44871916805
1990,3.8479503216482
1991,3.9122233649055
1992,4.1581162342097
1993,4.2253528562632
1994,4.2534671592517
1995,4.4944751807679
1996,4.7272189101197
1997,4.7801262455491
1998,8.0961825421625
1999,5.1608050461338
2000,6.5376051323491
2001,6.6308009598765
2002,7.3890149536384
2003,7.6521242440792
2004,8.1709072492713
2005,9.5722910317671
2006,10.092969913604
2007,9.0343587868123
2008,9.637685773262
2009,8.1082491716119
2010,6.9782232346637
2011,7.2593440788671
2012,7.0554403876274
2013,7.4413265263187
2014,9.7052689250568
2015,11.14021922015
2016,11.973084184522
2017,11.822607466407
2018,11.792452206887
2019,12.302675020282
2020,8.8850881099098
2021,9.1283286068117
2022,9.0968126032161
