Year,Emissions
1970,39.375866515078
1971,40.295183047205
1972,39.425555760915
1973,40.584651550136
1974,42.70657652916
1975,43.059936255544
1976,44.06569723511
1977,44.130839346202
1978,45.123073540488
1979,47.178443889966
1980,48.001890293747
1981,50.016965754485
1982,50.091881588326
1983,45.69873269014
1984,47.640468534576
1985,46.508786985454
1986,48.507087216397
1987,50.999805714885
1988,51.153009736221
1989,47.981463157301
1990,47.00329806993
1991,46.251065227529
1992,47.041833254331
1993,48.795386085215
1994,50.17439668452
1995,54.844651906279
1996,57.904027237344
1997,57.982716247558
1998,58.262636055795
1999,61.092151833609
2000,61.568791131097
2001,58.866653643154
2002,60.70676395781
2003,60.895384946553
2004,64.97546247129
2005,66.338506764206
2006,66.083964054248
2007,69.753206709199
2008,73.40399897735
2009,77.377836932711
2010,82.962035314604
2011,88.343707530448
2012,88.73300328644
2013,90.386520716629
2014,93.870122093124
2015,95.6127256961
2016,99.089533772284
2017,96.521133349428
2018,96.675230731901
2019,100.82674084095
2020,89.320343328996
2021,97.733994679653
2022,105.13935928256
