Year,Emissions
1970,90.673026145578
1971,92.923286751763
1972,92.967077583865
1973,101.63689731227
1974,99.338856340316
1975,100.60458394199
1976,98.565751098
1977,101.81192692625
1978,103.64253576063
1979,107.74854428552
1980,102.30624512711
1981,99.817840954768
1982,98.847054975391
1983,100.66900897379
1984,96.9512633287
1985,97.891823614701
1986,96.690943305919
1987,102.18097772087
1988,105.47318008734
1989,108.04213549716
1990,109.81243738052
1991,109.72437736156
1992,111.72387200179
1993,116.37757670238
1994,122.98723862888
1995,135.11834644994
1996,140.9045631157
1997,149.63227180031
1998,142.76312616806
1999,148.13080298766
2000,149.36229168224
2001,148.22582375492
2002,151.58657538805
2003,155.19409057247
2004,158.74618358115
2005,162.95801023119
2006,155.85793788735
2007,165.0832512536
2008,167.52679476031
2009,170.58453175423
2010,176.20764022964
2011,177.73369591519
2012,182.95713724537
2013,193.86903557509
2014,200.91842080391
2015,210.10372885751
2016,221.03678807385
2017,239.38568996245
2018,246.03180358602
2019,253.39360237902
2020,242.64269332409
2021,254.430064033
2022,265.29594074106
