Year,Emissions
1970,29.950993544274
1971,30.891515288859
1972,31.586383883807
1973,33.981599822587
1974,33.440812683029
1975,35.012977721545
1976,36.218631225684
1977,36.883626055398
1978,38.951710363749
1979,42.030441460113
1980,43.212686816895
1981,45.004389415219
1982,47.63979072529
1983,46.36099956072
1984,44.477056001358
1985,43.289845107972
1986,47.877228614378
1987,47.818820010702
1988,48.741204097543
1989,57.84260712583
1990,59.464772149943
1991,61.014898538756
1992,64.783386828828
1993,63.599171133767
1994,66.57333534119
1995,69.374558546017
1996,68.320078208738
1997,71.167032888549
1998,76.029616756761
1999,83.047537626915
2000,81.929439101545
2001,80.444788149672
2002,84.833884127477
2003,79.697893226392
2004,81.25707963932
2005,84.117694602459
2006,79.444045506914
2007,77.973677379796
2008,75.382427597093
2009,74.389520677401
2010,69.134709548713
2011,67.44995308533
2012,65.566261028379
2013,63.751843960427
2014,63.517454868269
2015,67.779386398286
2016,66.892424744602
2017,72.18882817928
2018,68.295491594042
2019,63.91699148969
2020,58.430586799007
2021,57.578710228809
2022,59.712534870557
