Year,Emissions
1970,30.654009447832
1971,32.790214953247
1972,39.550644363997
1973,43.963160869094
1974,41.62082685737
1975,39.095635011651
1976,42.7529518679
1977,47.852590539999
1978,48.515327072202
1979,41.85021561738
1980,34.586618273288
1981,30.11197402119
1982,23.551329604465
1983,24.01956129262
1984,21.849966549655
1985,19.450099918047
1986,23.688265710619
1987,21.285280066998
1988,24.538910728582
1989,25.578575838505
1990,21.71095127907
1991,22.33412992291
1992,22.763347885235
1993,23.375541704125
1994,23.877500393481
1995,24.269063621755
1996,24.605187694862
1997,25.210632078173
1998,25.59206497444
1999,27.296959166887
2000,27.363684151276
2001,27.174869612288
2002,22.628234699129
2003,28.550501300286
2004,28.711859549591
2005,28.585487509639
2006,19.177589498309
2007,20.126911215976
2008,17.662589920491
2009,16.262778077975
2010,15.66246627787
2011,14.027056573723
2012,13.657881162109
2013,13.703372190914
2014,14.020145551949
2015,14.215407099318
2016,13.414366261777
2017,13.997779107095
2018,16.202751256501
2019,14.934240892222
2020,14.959188641781
2021,15.517490111509
2022,15.264586002848
