Year,Emissions
1970,24.29446713712
1971,27.921017600329
1972,32.955482574696
1973,37.568787307998
1974,32.440071751745
1975,30.347762919957
1976,30.151416841633
1977,27.016978864646
1978,30.003433819001
1979,29.893645043041
1980,26.394936830496
1981,22.565241117281
1982,22.070883516595
1983,20.145567300204
1984,27.626260592303
1985,24.752734564398
1986,25.956597501081
1987,25.819060042001
1988,27.345446355682
1989,29.061549895525
1990,29.080653868483
1991,30.210540639508
1992,31.91509280606
1993,32.339228743768
1994,33.624433928161
1995,33.379665015607
1996,39.025563932829
1997,56.842718152452
1998,59.174692436511
1999,66.008338361544
2000,69.912055269193
2001,67.04823762621
2002,71.376084989129
2003,77.819493594298
2004,82.43312488702
2005,83.44548519393
2006,91.805133985432
2007,103.33559941796
2008,113.9083795547
2009,118.96556135329
2010,137.21159776101
2011,157.83791938686
2012,166.64364120465
2013,176.85411209897
2014,182.40289268191
2015,187.60593565798
2016,190.28635215505
2017,190.78839295708
2018,190.64267138927
2019,192.40529015235
2020,191.19895366238
2021,197.51120868939
2022,194.6521137176
