Year,Emissions
1970,76.31999341858
1971,87.859911783393
1972,112.448282713
1973,148.45588452657
1974,159.01509302207
1975,132.86338537649
1976,163.5661563941
1977,176.32029293565
1978,181.79066015145
1979,213.57268836231
1980,255.57260825215
1981,243.94932981544
1982,231.97803571522
1983,224.52391831925
1984,183.56074855187
1985,177.77674059593
1986,189.32948715071
1987,198.90357726923
1988,216.9455594975
1989,219.09369939844
1990,238.39122120557
1991,252.11872816088
1992,268.23209230892
1993,278.92246684902
1994,296.91865713196
1995,293.58233648323
1996,310.9663238343
1997,317.26693400942
1998,333.63186770531
1999,335.64851369463
2000,355.02404120599
2001,367.9486418893
2002,388.5710766165
2003,414.76990834538
2004,437.92390388017
2005,466.49364515533
2006,491.24621518152
2007,513.9486613976
2008,551.76528690661
2009,571.80162836837
2010,619.46866298517
2011,649.83217069722
2012,686.88132893
2013,696.01848465465
2014,739.74715860979
2015,771.90372623584
2016,777.26289819544
2017,774.57256615562
2018,758.47259193247
2019,761.48507780898
2020,755.36885627892
2021,779.97316219957
2022,810.51160690665
