Year,Emissions
1970,46.143065654703
1971,47.10443266553
1972,46.949224805673
1973,50.204777410778
1974,53.826347970865
1975,55.973065588975
1976,57.417546473853
1977,59.322644706508
1978,62.362964096046
1979,64.339892557742
1980,63.350044034121
1981,72.055074662189
1982,76.33730461949
1983,79.848188021464
1984,82.392183358193
1985,85.235336844825
1986,87.491855936861
1987,83.948053624136
1988,83.573859470482
1989,82.111437001
1990,85.526263684326
1991,73.650984063512
1992,67.586433583534
1993,60.441364962908
1994,56.005605945593
1995,62.754866041822
1996,71.065977363182
1997,77.081186072112
1998,76.958941323511
1999,58.521432540748
2000,66.396169651324
2001,70.354116731583
2002,74.372236687623
2003,77.398481553739
2004,82.852129418765
2005,76.987721906093
2006,78.428295866094
2007,76.914680082736
2008,75.335452114315
2009,70.957869131909
2010,72.660697942878
2011,77.095753431391
2012,69.913842731763
2013,71.155974285448
2014,61.783340311019
2015,69.943380168484
2016,72.017081770396
2017,71.8875553507
2018,70.383668691677
2019,70.936379244373
2020,71.923438796593
2021,70.008375384016
2022,69.944968373651
