Year,Emissions
1970,18.70718826522
1971,18.577370369148
1972,18.934201101315
1973,18.773678696932
1974,18.519182176885
1975,19.938067892865
1976,19.932359264648
1977,21.282831312253
1978,22.909581175515
1979,22.95977243855
1980,22.907587662709
1981,23.851404331497
1982,24.491140301027
1983,23.880521587154
1984,24.269374195776
1985,25.06672041659
1986,25.436297337602
1987,26.380644179928
1988,27.415184573821
1989,27.251753972728
1990,25.345438558813
1991,22.50453034359
1992,20.583432772208
1993,22.516984329867
1994,24.288058354453
1995,25.027161681654
1996,25.62364442952
1997,26.191297199457
1998,26.27007203275
1999,26.746762087096
2000,27.482750079804
2001,28.156821472552
2002,28.700349682436
2003,29.135576801455
2004,29.678190446523
2005,30.342377198127
2006,29.382942560488
2007,28.237538520967
2008,28.539113278785
2009,28.8160271685
2010,29.189541023937
2011,29.559682957674
2012,29.904714837761
2013,30.043352998857
2014,30.326141483436
2015,30.579781466723
2016,30.867008320007
2017,30.97354304576
2018,31.283330064788
2019,32.125005440144
2020,32.572171924044
2021,33.050669818156
2022,33.358229878506
