Year,Emissions
1970,2.0753659578761
1971,2.0855435803054
1972,2.0288616944344
1973,2.2768812322444
1974,2.1879794164734
1975,2.0930133166538
1976,2.1606179725518
1977,2.3012925588249
1978,2.4634879124917
1979,2.4722540229144
1980,2.547945611074
1981,2.3531634731019
1982,2.3344575564048
1983,2.1396413547723
1984,1.9759812654141
1985,2.0966767826781
1986,2.1013738281265
1987,1.7896396500924
1988,1.8724281648973
1989,2.0693285682531
1990,1.9222780890051
1991,1.9704766019226
1992,2.1045941171256
1993,1.9620692121361
1994,1.8961766432165
1995,1.9183544976374
1996,1.9086840654409
1997,1.8447762616276
1998,1.8471201570096
1999,1.7328718468958
2000,2.5633996753467
2001,2.5845028567954
2002,2.0046790245452
2003,2.2312400570927
2004,2.3765547940371
2005,2.6480268888123
2006,2.5041203329638
2007,2.3891582354875
2008,2.4736813980245
2009,2.5777591495734
2010,2.890563113807
2011,3.1224591519914
2012,3.5927392046078
2013,3.4678481944203
2014,3.8382457439954
2015,3.9247172101873
2016,4.1976528642713
2017,3.6476320803238
2018,3.3109387118888
2019,3.8792750688132
2020,3.8049742780137
2021,4.4865792865746
2022,4.5003022535814
