Year,Emissions
1970,116.23739313694
1971,109.02391982059
1972,109.59712906211
1973,113.06392950215
1974,105.99226858685
1975,106.88757951951
1976,113.6327770432
1977,109.65758605486
1978,104.89578703102
1979,108.32505465358
1980,100.83494806967
1981,93.313440669912
1982,86.761923346666
1983,81.752628474843
1984,81.738667971672
1985,85.47751659887
1986,86.527232089213
1987,84.531013363618
1988,82.497442686329
1989,79.753686637622
1990,79.214739533883
1991,79.236989711275
1992,82.052484451333
1993,82.462888868251
1994,85.07268649068
1995,84.479117202062
1996,89.864791057276
1997,85.188741783454
1998,85.330841101489
1999,84.162961059236
2000,80.797277797109
2001,80.576458320514
2002,82.435919440246
2003,83.257316552237
2004,82.090973568811
2005,81.440056065715
2006,84.195320933722
2007,81.466179266861
2008,78.276659537827
2009,72.558421950586
2010,78.578455203213
2011,73.637623690381
2012,70.327712779331
2013,68.063588492389
2014,66.407026526261
2015,66.670408680024
2016,66.383527451409
2017,66.114352568796
2018,63.355546530048
2019,62.683997658771
2020,62.775179120063
2021,61.412081417027
2022,60.636813405056
