Year,Emissions
1970,15.921575790026
1971,15.94610554065
1972,16.320065523205
1973,15.653328733022
1974,18.965167543776
1975,23.541366262265
1976,25.77135303269
1977,26.299832030722
1978,27.68846967225
1979,30.292678008412
1980,30.296675707979
1981,32.650874057746
1982,35.65277583875
1983,40.132364551016
1984,42.888112155424
1985,40.718611573821
1986,42.791866793885
1987,51.522953210225
1988,53.612538667986
1989,56.684600411931
1990,64.097773257888
1991,72.471648497088
1992,71.908266923384
1993,75.888495864832
1994,78.874960085941
1995,80.625270875488
1996,83.834515680257
1997,83.154484180154
1998,85.580087550365
1999,84.901593261164
2000,87.170336563724
2001,79.894868377708
2002,75.663964846054
2003,76.32087818914
2004,77.590081914544
2005,89.637404845926
2006,91.602920318287
2007,95.592900049634
2008,95.313960768357
2009,92.780761566231
2010,92.968278283522
2011,88.434746250477
2012,70.432751936843
2013,51.724962998506
2014,46.60179260592
2015,44.709074617899
2016,43.437953413168
2017,44.949112912418
2018,45.905387774506
2019,45.044613437659
2020,44.142448192747
2021,45.052272590034
2022,46.311805088833
