Year,Emissions
1970,1.9953092366256
1971,2.0019962734321
1972,2.0930363254628
1973,2.0296802009831
1974,2.0380146984424
1975,2.1629634838664
1976,2.1441510573269
1977,2.2883311566429
1978,2.3743911234362
1979,2.4391130445771
1980,2.3378040388541
1981,2.3688629670504
1982,2.6517599427557
1983,2.4319060749744
1984,2.5573767612039
1985,2.6212667523841
1986,2.9403526143178
1987,3.0858013189536
1988,3.3310708298504
1989,3.357215488155
1990,3.5686981087622
1991,3.4814757720297
1992,3.2010234859814
1993,3.1827503945003
1994,3.7179095085562
1995,3.6543066195755
1996,4.3984469462699
1997,4.2714564165269
1998,4.7223610901711
1999,5.2299848050329
2000,5.2442911964096
2001,5.2525864059832
2002,5.4450625595167
2003,5.8102403345519
2004,5.8612575305471
2005,6.0637135945465
2006,6.0499269094425
2007,6.1389908871876
2008,6.6502280845797
2009,8.0954780231299
2010,8.0276997159307
2011,7.9652927213143
2012,8.4270553090822
2013,8.306015485877
2014,8.2900484187981
2015,8.297512065908
2016,8.9217472127881
2017,8.9143236640912
2018,9.4276263896986
2019,9.952767164793
2020,10.38022361758
2021,10.809482282321
2022,11.087648765806
