Year,Emissions
1970,10.853462278539
1971,11.23444659215
1972,11.97389578769
1973,12.120535176526
1974,12.990570082833
1975,13.425379750653
1976,13.462550747049
1977,14.545945417059
1978,15.244147832077
1979,16.380392585453
1980,17.581580779829
1981,18.073423258468
1982,17.978548140228
1983,19.713604357525
1984,20.45630606302
1985,20.970855246109
1986,21.223384144735
1987,21.55288154032
1988,22.289409656603
1989,23.454283090303
1990,23.923187464636
1991,24.976765107587
1992,26.138527293974
1993,26.756479121618
1994,26.533410902029
1995,27.04177603732
1996,28.287031580893
1997,29.051266508866
1998,30.465823111542
1999,32.008496466689
2000,33.174830772657
2001,34.262968861204
2002,33.980746902706
2003,33.72398200581
2004,35.345480573445
2005,36.498605434071
2006,37.910752569721
2007,38.672469728302
2008,39.984566918258
2009,40.003679133927
2010,42.19592443591
2011,40.281516085253
2012,42.273838755368
2013,42.027039575113
2014,43.930871726635
2015,44.357209664083
2016,43.492234252101
2017,43.521005540314
2018,43.753018613332
2019,43.795548070508
2020,42.08932769178
2021,48.990217700161
2022,49.82007300415
