Year,Emissions
1970,45.078077403042
1971,45.41854709489
1972,47.448218310266
1973,49.820418069329
1974,52.57127928213
1975,56.967269014039
1976,58.956937964737
1977,60.917021147906
1978,63.152500897623
1979,65.492345124815
1980,68.451882237198
1981,69.751365709927
1982,71.540355385439
1983,73.44732990148
1984,76.059349844009
1985,78.927820586734
1986,81.548037992035
1987,84.233239015122
1988,86.443211486992
1989,87.301320066915
1990,86.640895175475
1991,80.655516486527
1992,58.958713228649
1993,61.767446954847
1994,58.186941036122
1995,57.963849070812
1996,56.19489473022
1997,47.908221562981
1998,50.811323642111
1999,64.198819948539
2000,73.965667813329
2001,75.882814102841
2002,82.835207406785
2003,93.798577085357
2004,98.597910958196
2005,100.26613452813
2006,104.35067233202
2007,110.65574628814
2008,114.89605189687
2009,93.481984462699
2010,102.71659872882
2011,115.96034093433
2012,121.11589528095
2013,123.22215687834
2014,122.53636074816
2015,126.75219659428
2016,124.35885530733
2017,123.12706027571
2018,123.45594502524
2019,124.50610980242
2020,123.48316771062
2021,128.00445390741
2022,128.9191686669
