Year,Emissions
1970,102.47737257809
1971,106.75891875643
1972,115.52134796769
1973,121.57019867655
1974,124.71415837205
1975,131.77720527652
1976,141.93811625235
1977,151.66315958664
1978,151.41553063009
1979,146.42966270751
1980,151.35765219895
1981,154.59265246327
1982,162.90883020805
1983,167.03751397911
1984,173.69065079755
1985,178.10552111549
1986,190.75024883145
1987,203.68279329902
1988,199.4675868395
1989,214.05651797127
1990,228.08571339597
1991,224.36464961193
1992,234.08933911777
1993,240.53360180254
1994,236.15807063286
1995,254.64440441674
1996,275.49688062954
1997,290.14469892837
1998,295.2084007437
1999,297.15542125131
2000,323.03562932485
2001,301.44928161579
2002,307.47332207148
2003,321.17521804665
2004,325.04660019477
2005,336.51526118075
2006,372.46402392638
2007,402.02413831982
2008,400.37000398771
2009,408.23111163053
2010,425.10693841332
2011,449.74409127505
2012,482.08905436941
2013,479.31855525251
2014,506.61179678019
2015,521.9147725056
2016,551.56489393766
2017,597.55653669528
2018,603.86103348102
2019,593.46632994297
2020,614.49396478319
2021,666.79634290338
2022,687.52630948844
